episode:0 	| reward:27.38 	| took:1.23s 	| avrege:27.38 	| loss:(actor:-1.26, critic:0.32)
episode:1 	| reward:26.50 	| took:1.17s 	| avrege:26.94 	| loss:(actor:-1.53, critic:0.12)
episode:2 	| reward:26.54 	| took:1.16s 	| avrege:26.81 	| loss:(actor:-1.60, critic:0.07)
episode:3 	| reward:26.28 	| took:1.20s 	| avrege:26.68 	| loss:(actor:-1.68, critic:0.03)
episode:4 	| reward:25.34 	| took:1.11s 	| avrege:26.41 	| loss:(actor:-1.68, critic:0.06)
episode:5 	| reward:26.11 	| took:1.14s 	| avrege:26.36 	| loss:(actor:-1.70, critic:0.04)
episode:6 	| reward:25.77 	| took:1.51s 	| avrege:26.28 	| loss:(actor:-1.73, critic:0.11)
episode:7 	| reward:27.66 	| took:1.21s 	| avrege:26.45 	| loss:(actor:-1.86, critic:0.03)
episode:8 	| reward:25.12 	| took:1.18s 	| avrege:26.30 	| loss:(actor:-1.84, critic:0.01)
episode:9 	| reward:26.00 	| took:1.15s 	| avrege:26.27 	| loss:(actor:-2.02, critic:0.05)
episode:10 	| reward:26.13 	| took:1.22s 	| avrege:26.26 	| loss:(actor:-2.00, critic:0.05)
episode:11 	| reward:26.09 	| took:1.15s 	| avrege:26.24 	| loss:(actor:-1.90, critic:0.04)
episode:12 	| reward:25.77 	| took:1.18s 	| avrege:26.21 	| loss:(actor:-2.08, critic:0.01)
episode:13 	| reward:25.49 	| took:1.26s 	| avrege:26.16 	| loss:(actor:-2.12, critic:0.09)
episode:14 	| reward:25.89 	| took:1.32s 	| avrege:26.14 	| loss:(actor:-2.03, critic:0.06)
episode:15 	| reward:27.70 	| took:1.38s 	| avrege:26.24 	| loss:(actor:-2.11, critic:0.08)
episode:16 	| reward:25.93 	| took:1.22s 	| avrege:26.22 	| loss:(actor:-2.15, critic:0.01)
episode:17 	| reward:26.93 	| took:1.21s 	| avrege:26.26 	| loss:(actor:-2.22, critic:0.00)
episode:18 	| reward:28.65 	| took:1.25s 	| avrege:26.38 	| loss:(actor:-2.31, critic:0.05)
episode:19 	| reward:27.68 	| took:1.27s 	| avrege:26.45 	| loss:(actor:-2.25, critic:0.00)
episode:20 	| reward:27.03 	| took:1.20s 	| avrege:26.48 	| loss:(actor:-2.33, critic:0.00)
episode:21 	| reward:26.75 	| took:1.21s 	| avrege:26.49 	| loss:(actor:-2.30, critic:0.07)
episode:22 	| reward:27.91 	| took:1.22s 	| avrege:26.55 	| loss:(actor:-2.28, critic:0.00)
episode:23 	| reward:27.07 	| took:1.25s 	| avrege:26.57 	| loss:(actor:-2.48, critic:0.11)
episode:24 	| reward:25.59 	| took:1.14s 	| avrege:26.53 	| loss:(actor:-2.37, critic:0.05)
episode:25 	| reward:26.45 	| took:1.17s 	| avrege:26.53 	| loss:(actor:-2.41, critic:0.00)
episode:26 	| reward:27.22 	| took:1.19s 	| avrege:26.56 	| loss:(actor:-2.39, critic:0.05)
episode:27 	| reward:27.17 	| took:1.31s 	| avrege:26.58 	| loss:(actor:-2.43, critic:0.00)
episode:28 	| reward:28.20 	| took:1.30s 	| avrege:26.63 	| loss:(actor:-2.51, critic:0.02)
episode:29 	| reward:26.05 	| took:1.18s 	| avrege:26.61 	| loss:(actor:-2.62, critic:0.00)
episode:30 	| reward:25.16 	| took:1.35s 	| avrege:26.57 	| loss:(actor:-2.39, critic:0.06)
episode:31 	| reward:26.08 	| took:1.61s 	| avrege:26.55 	| loss:(actor:-2.62, critic:0.06)
episode:32 	| reward:28.30 	| took:1.36s 	| avrege:26.60 	| loss:(actor:-2.57, critic:0.01)
episode:33 	| reward:27.51 	| took:1.32s 	| avrege:26.63 	| loss:(actor:-2.62, critic:0.07)
episode:34 	| reward:29.05 	| took:1.43s 	| avrege:26.70 	| loss:(actor:-2.61, critic:0.13)
episode:35 	| reward:30.78 	| took:1.42s 	| avrege:26.81 	| loss:(actor:-2.58, critic:0.20)
episode:36 	| reward:27.23 	| took:1.31s 	| avrege:26.83 	| loss:(actor:-2.71, critic:0.00)
episode:37 	| reward:25.68 	| took:1.25s 	| avrege:26.80 	| loss:(actor:-2.79, critic:0.08)
episode:38 	| reward:27.76 	| took:1.36s 	| avrege:26.82 	| loss:(actor:-2.76, critic:0.26)
episode:39 	| reward:25.94 	| took:1.30s 	| avrege:26.80 	| loss:(actor:-2.69, critic:0.07)
episode:40 	| reward:38.01 	| took:1.69s 	| avrege:27.07 	| loss:(actor:-2.84, critic:0.22)
episode:41 	| reward:45.13 	| took:2.10s 	| avrege:27.50 	| loss:(actor:-2.85, critic:0.06)
episode:42 	| reward:35.32 	| took:1.68s 	| avrege:27.68 	| loss:(actor:-3.06, critic:0.01)
episode:43 	| reward:92.20 	| took:4.32s 	| avrege:29.15 	| loss:(actor:-3.03, critic:0.09)
episode:44 	| reward:84.37 	| took:3.79s 	| avrege:30.38 	| loss:(actor:-3.14, critic:0.09)
episode:45 	| reward:104.62 	| took:5.24s 	| avrege:31.99 	| loss:(actor:-3.33, critic:0.15)
episode:46 	| reward:40.41 	| took:1.94s 	| avrege:32.17 	| loss:(actor:-3.39, critic:0.01)
episode:47 	| reward:29.77 	| took:1.36s 	| avrege:32.12 	| loss:(actor:-3.36, critic:0.13)
episode:48 	| reward:30.39 	| took:1.37s 	| avrege:32.08 	| loss:(actor:-3.55, critic:0.11)
episode:49 	| reward:32.31 	| took:1.41s 	| avrege:32.09 	| loss:(actor:-3.33, critic:0.03)
episode:50 	| reward:31.29 	| took:1.38s 	| avrege:32.07 	| loss:(actor:-3.41, critic:0.26)
episode:51 	| reward:32.12 	| took:1.62s 	| avrege:32.07 	| loss:(actor:-3.42, critic:0.11)
episode:52 	| reward:32.97 	| took:1.49s 	| avrege:32.09 	| loss:(actor:-3.51, critic:0.01)
episode:53 	| reward:29.37 	| took:1.32s 	| avrege:32.04 	| loss:(actor:-3.45, critic:0.03)
episode:54 	| reward:30.33 	| took:1.42s 	| avrege:32.01 	| loss:(actor:-3.64, critic:0.13)
episode:55 	| reward:33.79 	| took:1.44s 	| avrege:32.04 	| loss:(actor:-3.58, critic:0.18)
episode:56 	| reward:32.07 	| took:1.39s 	| avrege:32.04 	| loss:(actor:-3.81, critic:0.01)
episode:57 	| reward:45.63 	| took:1.87s 	| avrege:32.28 	| loss:(actor:-3.81, critic:0.47)
episode:58 	| reward:45.30 	| took:1.90s 	| avrege:32.50 	| loss:(actor:-3.61, critic:0.02)
episode:59 	| reward:86.03 	| took:3.25s 	| avrege:33.39 	| loss:(actor:-3.88, critic:0.00)
episode:60 	| reward:69.30 	| took:3.04s 	| avrege:33.98 	| loss:(actor:-4.15, critic:0.01)
episode:61 	| reward:69.78 	| took:3.15s 	| avrege:34.56 	| loss:(actor:-4.03, critic:0.40)
episode:62 	| reward:31.01 	| took:1.59s 	| avrege:34.50 	| loss:(actor:-4.03, critic:0.41)
episode:63 	| reward:28.17 	| took:1.48s 	| avrege:34.40 	| loss:(actor:-3.94, critic:0.20)
episode:64 	| reward:29.45 	| took:1.50s 	| avrege:34.32 	| loss:(actor:-3.99, critic:0.41)
episode:65 	| reward:38.19 	| took:1.87s 	| avrege:34.38 	| loss:(actor:-4.05, critic:0.25)
episode:66 	| reward:64.84 	| took:2.95s 	| avrege:34.84 	| loss:(actor:-4.24, critic:0.45)
episode:67 	| reward:34.35 	| took:1.63s 	| avrege:34.83 	| loss:(actor:-4.30, critic:0.01)
episode:68 	| reward:38.16 	| took:2.09s 	| avrege:34.88 	| loss:(actor:-4.23, critic:0.48)
episode:69 	| reward:57.54 	| took:2.73s 	| avrege:35.20 	| loss:(actor:-4.26, critic:0.02)
episode:70 	| reward:74.09 	| took:3.88s 	| avrege:35.75 	| loss:(actor:-4.48, critic:0.24)
episode:71 	| reward:46.87 	| took:2.45s 	| avrege:35.90 	| loss:(actor:-4.28, critic:0.55)
episode:72 	| reward:54.50 	| took:2.71s 	| avrege:36.16 	| loss:(actor:-4.65, critic:0.30)
episode:73 	| reward:44.37 	| took:2.28s 	| avrege:36.27 	| loss:(actor:-4.47, critic:0.26)
episode:74 	| reward:43.40 	| took:2.34s 	| avrege:36.36 	| loss:(actor:-4.64, critic:0.04)
episode:75 	| reward:30.05 	| took:1.96s 	| avrege:36.28 	| loss:(actor:-4.64, critic:0.53)
episode:76 	| reward:44.75 	| took:2.86s 	| avrege:36.39 	| loss:(actor:-4.51, critic:0.02)
