episode:0 	| reward:-251.99 	| took:178.27s 	| avrege:-251.99)
episode:1 	| reward:-130.46 	| took:193.02s 	| avrege:-191.22)
episode:2 	| reward:-177.57 	| took:188.46s 	| avrege:-186.67)
episode:3 	| reward:-117.79 	| took:190.60s 	| avrege:-169.45)
episode:4 	| reward:-192.72 	| took:184.13s 	| avrege:-174.11)
episode:5 	| reward:-237.52 	| took:185.44s 	| avrege:-184.67)
episode:6 	| reward:-245.68 	| took:182.67s 	| avrege:-193.39)
episode:7 	| reward:-240.69 	| took:183.24s 	| avrege:-199.30)
episode:8 	| reward:-197.59 	| took:183.49s 	| avrege:-199.11)
episode:9 	| reward:-208.08 	| took:184.74s 	| avrege:-200.01)
episode:10 	| reward:-185.35 	| took:184.00s 	| avrege:-198.68)
episode:11 	| reward:-161.82 	| took:184.70s 	| avrege:-195.60)
episode:12 	| reward:-278.04 	| took:184.56s 	| avrege:-201.95)
episode:13 	| reward:-167.68 	| took:184.31s 	| avrege:-199.50)
episode:14 	| reward:-232.19 	| took:185.03s 	| avrege:-201.68)
episode:15 	| reward:-269.17 	| took:184.73s 	| avrege:-205.90)
episode:16 	| reward:-223.42 	| took:186.00s 	| avrege:-206.93)
episode:17 	| reward:-228.61 	| took:186.08s 	| avrege:-208.13)
episode:18 	| reward:-206.95 	| took:185.18s 	| avrege:-208.07)
episode:19 	| reward:-160.25 	| took:187.74s 	| avrege:-205.68)
