episode:0 	| reward:-208.73 	| took:157.72s 	| avrege:-208.73)
episode:1 	| reward:-248.40 	| took:172.65s 	| avrege:-228.56)
episode:2 	| reward:-245.57 	| took:173.38s 	| avrege:-234.23)
episode:3 	| reward:-284.48 	| took:191.35s 	| avrege:-246.79)
episode:4 	| reward:-232.22 	| took:201.79s 	| avrege:-243.88)
episode:5 	| reward:-256.76 	| took:196.78s 	| avrege:-246.03)
episode:6 	| reward:-298.10 	| took:179.62s 	| avrege:-253.47)
episode:7 	| reward:-286.82 	| took:177.82s 	| avrege:-257.63)
episode:8 	| reward:-269.70 	| took:179.52s 	| avrege:-258.98)
episode:9 	| reward:-346.11 	| took:180.34s 	| avrege:-267.69)
episode:10 	| reward:-348.97 	| took:178.65s 	| avrege:-275.08)
episode:11 	| reward:-254.59 	| took:178.77s 	| avrege:-273.37)
episode:12 	| reward:-213.06 	| took:178.48s 	| avrege:-268.73)
episode:13 	| reward:-183.22 	| took:178.18s 	| avrege:-262.62)
episode:14 	| reward:-317.45 	| took:180.45s 	| avrege:-266.28)
episode:15 	| reward:-276.99 	| took:178.53s 	| avrege:-266.95)
episode:16 	| reward:-192.72 	| took:179.16s 	| avrege:-262.58)
episode:17 	| reward:-277.52 	| took:179.31s 	| avrege:-263.41)
episode:18 	| reward:-280.24 	| took:179.69s 	| avrege:-264.30)
episode:19 	| reward:-130.14 	| took:180.99s 	| avrege:-257.59)
episode:20 	| reward:-298.51 	| took:179.89s 	| avrege:-259.54)
episode:21 	| reward:-303.73 	| took:180.25s 	| avrege:-261.55)
episode:22 	| reward:-253.62 	| took:179.72s 	| avrege:-261.20)
episode:23 	| reward:-267.86 	| took:180.01s 	| avrege:-261.48)
episode:24 	| reward:-300.87 	| took:179.92s 	| avrege:-263.06)
episode:25 	| reward:-268.16 	| took:180.15s 	| avrege:-263.25)
episode:26 	| reward:-305.66 	| took:181.06s 	| avrege:-264.82)
episode:27 	| reward:-267.54 	| took:180.76s 	| avrege:-264.92)
episode:28 	| reward:-316.19 	| took:180.50s 	| avrege:-266.69)
episode:29 	| reward:-303.55 	| took:181.54s 	| avrege:-267.92)
episode:30 	| reward:-248.78 	| took:181.37s 	| avrege:-267.30)
episode:31 	| reward:-253.55 	| took:182.86s 	| avrege:-266.87)
episode:32 	| reward:-179.23 	| took:183.51s 	| avrege:-264.21)
episode:33 	| reward:-289.37 	| took:186.19s 	| avrege:-264.95)
episode:34 	| reward:-304.84 	| took:189.99s 	| avrege:-266.09)
episode:35 	| reward:-329.79 	| took:190.73s 	| avrege:-267.86)
episode:36 	| reward:-225.94 	| took:193.65s 	| avrege:-266.73)
episode:37 	| reward:-218.83 	| took:195.27s 	| avrege:-265.47)
episode:38 	| reward:-262.92 	| took:197.44s 	| avrege:-265.40)
episode:39 	| reward:-270.97 	| took:198.90s 	| avrege:-265.54)
episode:40 	| reward:-224.17 	| took:199.85s 	| avrege:-264.53)
episode:41 	| reward:-269.26 	| took:201.52s 	| avrege:-264.65)
episode:42 	| reward:-189.57 	| took:201.83s 	| avrege:-262.90)
episode:43 	| reward:-272.43 	| took:206.18s 	| avrege:-263.12)
episode:44 	| reward:-292.04 	| took:200.63s 	| avrege:-263.76)
episode:45 	| reward:-250.21 	| took:200.72s 	| avrege:-263.46)
episode:46 	| reward:-287.39 	| took:198.86s 	| avrege:-263.97)
episode:47 	| reward:-318.21 	| took:199.10s 	| avrege:-265.10)
episode:48 	| reward:-237.21 	| took:197.42s 	| avrege:-264.53)
episode:49 	| reward:-263.37 	| took:201.67s 	| avrege:-264.51)
episode:50 	| reward:-253.11 	| took:198.70s 	| avrege:-264.29)
episode:51 	| reward:-316.58 	| took:201.75s 	| avrege:-265.29)
episode:52 	| reward:-276.60 	| took:201.35s 	| avrege:-265.51)
episode:53 	| reward:-136.49 	| took:200.75s 	| avrege:-263.12)
episode:54 	| reward:-308.08 	| took:202.86s 	| avrege:-263.93)
episode:55 	| reward:-325.32 	| took:204.81s 	| avrege:-265.03)
episode:56 	| reward:-232.56 	| took:211.80s 	| avrege:-264.46)
episode:57 	| reward:-326.01 	| took:205.66s 	| avrege:-265.52)
episode:58 	| reward:-288.67 	| took:204.32s 	| avrege:-265.91)
episode:59 	| reward:-238.56 	| took:209.72s 	| avrege:-265.46)
episode:60 	| reward:-228.65 	| took:221.96s 	| avrege:-264.86)
episode:61 	| reward:-292.03 	| took:203.95s 	| avrege:-265.29)
