episode:0 	| reward:-162.73 	| took:145.84s 	| avrege:-162.73)
episode:1 	| reward:-246.52 	| took:159.61s 	| avrege:-204.62)
episode:2 	| reward:-151.58 	| took:162.52s 	| avrege:-186.94)
episode:3 	| reward:-134.53 	| took:158.31s 	| avrege:-173.84)
episode:4 	| reward:-325.01 	| took:158.70s 	| avrege:-204.07)
episode:5 	| reward:-285.72 	| took:160.10s 	| avrege:-217.68)
episode:6 	| reward:-151.03 	| took:158.78s 	| avrege:-208.16)
episode:7 	| reward:-117.97 	| took:158.60s 	| avrege:-196.89)
episode:8 	| reward:-83.39 	| took:158.71s 	| avrege:-184.28)
episode:9 	| reward:-116.24 	| took:158.61s 	| avrege:-177.47)
episode:10 	| reward:-156.77 	| took:158.66s 	| avrege:-175.59)
episode:11 	| reward:-177.18 	| took:159.07s 	| avrege:-175.72)
episode:12 	| reward:-149.18 	| took:159.72s 	| avrege:-173.68)
episode:13 	| reward:-228.70 	| took:161.38s 	| avrege:-177.61)
episode:14 	| reward:-209.65 	| took:160.22s 	| avrege:-179.75)
episode:15 	| reward:-207.78 	| took:159.80s 	| avrege:-181.50)
episode:16 	| reward:-88.69 	| took:159.82s 	| avrege:-176.04)
episode:17 	| reward:-207.91 	| took:160.18s 	| avrege:-177.81)
episode:18 	| reward:-162.86 	| took:160.20s 	| avrege:-177.02)
episode:19 	| reward:-211.42 	| took:160.27s 	| avrege:-178.74)
episode:20 	| reward:-263.93 	| took:160.53s 	| avrege:-182.80)
episode:21 	| reward:-393.48 	| took:161.77s 	| avrege:-192.38)
episode:22 	| reward:-219.03 	| took:161.12s 	| avrege:-193.53)
episode:23 	| reward:-273.78 	| took:160.95s 	| avrege:-196.88)
episode:24 	| reward:-133.73 	| took:161.39s 	| avrege:-194.35)
episode:25 	| reward:-219.90 	| took:161.37s 	| avrege:-195.33)
episode:26 	| reward:-195.03 	| took:161.22s 	| avrege:-195.32)
episode:27 	| reward:-239.81 	| took:161.69s 	| avrege:-196.91)
episode:28 	| reward:-152.18 	| took:162.07s 	| avrege:-195.37)
episode:29 	| reward:-164.39 	| took:162.79s 	| avrege:-194.34)
episode:30 	| reward:-124.25 	| took:162.45s 	| avrege:-192.08)
episode:31 	| reward:-185.08 	| took:162.60s 	| avrege:-191.86)
episode:32 	| reward:-279.43 	| took:162.83s 	| avrege:-194.51)
episode:33 	| reward:-21.80 	| took:161.96s 	| avrege:-189.43)
episode:34 	| reward:-77.00 	| took:162.81s 	| avrege:-186.22)
episode:35 	| reward:-91.32 	| took:164.05s 	| avrege:-183.58)
episode:36 	| reward:-82.32 	| took:164.38s 	| avrege:-180.85)
episode:37 	| reward:-233.62 	| took:163.22s 	| avrege:-182.24)
episode:38 	| reward:-230.97 	| took:164.40s 	| avrege:-183.48)
episode:39 	| reward:-152.47 	| took:164.37s 	| avrege:-182.71)
episode:40 	| reward:-267.64 	| took:165.09s 	| avrege:-184.78)
episode:41 	| reward:-121.37 	| took:163.77s 	| avrege:-183.27)
episode:42 	| reward:-259.66 	| took:164.07s 	| avrege:-185.05)
episode:43 	| reward:-252.62 	| took:164.77s 	| avrege:-186.58)
episode:44 	| reward:-209.11 	| took:165.16s 	| avrege:-187.08)
episode:45 	| reward:-214.56 	| took:165.32s 	| avrege:-187.68)
episode:46 	| reward:-239.12 	| took:165.34s 	| avrege:-188.78)
episode:47 	| reward:-152.28 	| took:165.15s 	| avrege:-188.02)
episode:48 	| reward:-136.17 	| took:164.87s 	| avrege:-186.96)
episode:49 	| reward:-266.01 	| took:165.74s 	| avrege:-188.54)
episode:50 	| reward:-162.29 	| took:165.67s 	| avrege:-188.02)
episode:51 	| reward:-211.06 	| took:165.80s 	| avrege:-188.47)
episode:52 	| reward:-53.00 	| took:165.60s 	| avrege:-185.91)
episode:53 	| reward:-232.66 	| took:165.68s 	| avrege:-186.78)
episode:54 	| reward:-81.79 	| took:164.95s 	| avrege:-184.87)
episode:55 	| reward:-332.62 	| took:166.47s 	| avrege:-187.51)
episode:56 	| reward:-76.67 	| took:165.77s 	| avrege:-185.56)
episode:57 	| reward:-163.61 	| took:165.93s 	| avrege:-185.18)
