episode:0 	| reward:-172.58 	| took:166.37s 	| avrege:-172.58)
episode:1 	| reward:-76.56 	| took:192.34s 	| avrege:-124.57)
episode:2 	| reward:-161.68 	| took:193.12s 	| avrege:-136.94)
episode:3 	| reward:-139.03 	| took:194.74s 	| avrege:-137.46)
episode:4 	| reward:-234.77 	| took:191.70s 	| avrege:-156.92)
episode:5 	| reward:-129.04 	| took:191.36s 	| avrege:-152.28)
episode:6 	| reward:-343.10 	| took:195.62s 	| avrege:-179.54)
episode:7 	| reward:-99.83 	| took:189.52s 	| avrege:-169.57)
episode:8 	| reward:-231.74 	| took:192.58s 	| avrege:-176.48)
episode:9 	| reward:-186.23 	| took:197.59s 	| avrege:-177.46)
episode:10 	| reward:-148.75 	| took:196.88s 	| avrege:-174.85)
episode:11 	| reward:-51.32 	| took:198.40s 	| avrege:-164.55)
episode:12 	| reward:-214.70 	| took:194.15s 	| avrege:-168.41)
episode:13 	| reward:-82.52 	| took:184.08s 	| avrege:-162.27)
