episode:0 	| reward:26.19 	| took:1.00s 	| avrege:26.19 	| loss:(actor:-5.01, critic:0.13)
episode:1 	| reward:26.40 	| took:1.00s 	| avrege:26.29 	| loss:(actor:-5.09, critic:0.34)
episode:2 	| reward:26.87 	| took:0.98s 	| avrege:26.48 	| loss:(actor:-5.12, critic:0.05)
episode:3 	| reward:26.82 	| took:1.00s 	| avrege:26.57 	| loss:(actor:-5.14, critic:0.05)
episode:4 	| reward:26.70 	| took:1.03s 	| avrege:26.60 	| loss:(actor:-5.25, critic:0.06)
episode:5 	| reward:26.20 	| took:1.01s 	| avrege:26.53 	| loss:(actor:-4.97, critic:0.03)
episode:6 	| reward:26.18 	| took:1.01s 	| avrege:26.48 	| loss:(actor:-5.18, critic:0.28)
episode:7 	| reward:26.41 	| took:1.02s 	| avrege:26.47 	| loss:(actor:-5.12, critic:0.47)
episode:8 	| reward:26.48 	| took:1.02s 	| avrege:26.47 	| loss:(actor:-4.90, critic:0.43)
episode:9 	| reward:26.04 	| took:1.01s 	| avrege:26.43 	| loss:(actor:-5.29, critic:0.02)
episode:10 	| reward:26.62 	| took:1.16s 	| avrege:26.45 	| loss:(actor:-5.20, critic:0.01)
episode:11 	| reward:26.58 	| took:1.13s 	| avrege:26.46 	| loss:(actor:-5.47, critic:0.01)
episode:12 	| reward:26.83 	| took:0.99s 	| avrege:26.49 	| loss:(actor:-5.30, critic:0.03)
episode:13 	| reward:26.82 	| took:1.00s 	| avrege:26.51 	| loss:(actor:-5.50, critic:0.37)
episode:14 	| reward:27.03 	| took:0.99s 	| avrege:26.54 	| loss:(actor:-5.47, critic:0.49)
episode:15 	| reward:26.90 	| took:1.01s 	| avrege:26.57 	| loss:(actor:-5.42, critic:0.41)
episode:16 	| reward:27.34 	| took:1.08s 	| avrege:26.61 	| loss:(actor:-5.52, critic:0.35)
episode:17 	| reward:26.71 	| took:1.03s 	| avrege:26.62 	| loss:(actor:-5.34, critic:0.39)
episode:18 	| reward:25.64 	| took:1.04s 	| avrege:26.57 	| loss:(actor:-5.44, critic:0.34)
episode:19 	| reward:27.45 	| took:1.03s 	| avrege:26.61 	| loss:(actor:-5.63, critic:0.46)
episode:20 	| reward:26.25 	| took:1.13s 	| avrege:26.59 	| loss:(actor:-5.18, critic:1.21)
episode:21 	| reward:27.38 	| took:1.08s 	| avrege:26.63 	| loss:(actor:-5.44, critic:0.03)
episode:22 	| reward:27.44 	| took:1.01s 	| avrege:26.66 	| loss:(actor:-5.62, critic:0.02)
episode:23 	| reward:27.38 	| took:1.06s 	| avrege:26.69 	| loss:(actor:-5.42, critic:0.05)
episode:24 	| reward:27.21 	| took:1.01s 	| avrege:26.71 	| loss:(actor:-5.62, critic:0.44)
episode:25 	| reward:26.80 	| took:1.03s 	| avrege:26.72 	| loss:(actor:-5.63, critic:0.01)
episode:26 	| reward:26.17 	| took:1.09s 	| avrege:26.70 	| loss:(actor:-5.66, critic:0.85)
episode:27 	| reward:26.08 	| took:1.05s 	| avrege:26.68 	| loss:(actor:-5.40, critic:0.02)
episode:28 	| reward:25.86 	| took:1.02s 	| avrege:26.65 	| loss:(actor:-5.70, critic:1.71)
episode:29 	| reward:25.01 	| took:1.03s 	| avrege:26.59 	| loss:(actor:-5.66, critic:0.02)
episode:30 	| reward:24.18 	| took:1.05s 	| avrege:26.51 	| loss:(actor:-5.86, critic:0.01)
episode:31 	| reward:24.52 	| took:1.01s 	| avrege:26.45 	| loss:(actor:-5.79, critic:0.04)
episode:32 	| reward:24.52 	| took:1.17s 	| avrege:26.39 	| loss:(actor:-5.74, critic:0.40)
episode:33 	| reward:24.52 	| took:1.00s 	| avrege:26.34 	| loss:(actor:-5.68, critic:0.48)
episode:34 	| reward:24.60 	| took:1.18s 	| avrege:26.29 	| loss:(actor:-5.65, critic:0.02)
episode:35 	| reward:24.52 	| took:1.09s 	| avrege:26.24 	| loss:(actor:-5.57, critic:0.04)
episode:36 	| reward:24.22 	| took:1.03s 	| avrege:26.19 	| loss:(actor:-5.62, critic:1.25)
episode:37 	| reward:23.56 	| took:1.02s 	| avrege:26.12 	| loss:(actor:-5.78, critic:0.02)
episode:38 	| reward:24.66 	| took:1.04s 	| avrege:26.08 	| loss:(actor:-5.29, critic:0.57)
episode:39 	| reward:24.68 	| took:1.03s 	| avrege:26.04 	| loss:(actor:-5.53, critic:0.02)
episode:40 	| reward:24.52 	| took:1.01s 	| avrege:26.01 	| loss:(actor:-5.89, critic:0.02)
episode:41 	| reward:22.81 	| took:1.00s 	| avrege:25.93 	| loss:(actor:-5.89, critic:0.01)
episode:42 	| reward:24.52 	| took:1.01s 	| avrege:25.90 	| loss:(actor:-5.74, critic:0.01)
episode:43 	| reward:24.52 	| took:1.00s 	| avrege:25.87 	| loss:(actor:-5.70, critic:0.59)
