episode:0 	| reward:26.60 	| took:1.35s 	| avrege:26.60 	| loss:(actor:-6.05, critic:0.77)
episode:1 	| reward:26.68 	| took:1.17s 	| avrege:26.64 	| loss:(actor:-5.79, critic:0.35)
episode:2 	| reward:26.34 	| took:1.18s 	| avrege:26.54 	| loss:(actor:-6.27, critic:0.41)
episode:3 	| reward:26.44 	| took:1.14s 	| avrege:26.52 	| loss:(actor:-6.00, critic:0.04)
episode:4 	| reward:26.72 	| took:1.19s 	| avrege:26.56 	| loss:(actor:-6.39, critic:1.11)
episode:5 	| reward:26.82 	| took:1.57s 	| avrege:26.60 	| loss:(actor:-6.77, critic:0.51)
episode:6 	| reward:26.86 	| took:1.18s 	| avrege:26.64 	| loss:(actor:-5.95, critic:0.48)
episode:7 	| reward:26.86 	| took:1.12s 	| avrege:26.67 	| loss:(actor:-6.36, critic:0.43)
episode:8 	| reward:26.77 	| took:1.16s 	| avrege:26.68 	| loss:(actor:-6.75, critic:0.48)
episode:9 	| reward:26.80 	| took:1.14s 	| avrege:26.69 	| loss:(actor:-6.14, critic:0.76)
episode:10 	| reward:26.54 	| took:1.15s 	| avrege:26.68 	| loss:(actor:-6.77, critic:0.31)
episode:11 	| reward:26.66 	| took:1.13s 	| avrege:26.67 	| loss:(actor:-6.41, critic:0.18)
episode:12 	| reward:25.85 	| took:1.19s 	| avrege:26.61 	| loss:(actor:-6.56, critic:0.52)
episode:13 	| reward:26.59 	| took:1.10s 	| avrege:26.61 	| loss:(actor:-6.81, critic:0.75)
episode:14 	| reward:26.51 	| took:1.12s 	| avrege:26.60 	| loss:(actor:-6.62, critic:0.03)
episode:15 	| reward:26.62 	| took:1.11s 	| avrege:26.60 	| loss:(actor:-6.26, critic:0.45)
episode:16 	| reward:26.65 	| took:1.14s 	| avrege:26.61 	| loss:(actor:-7.09, critic:0.66)
episode:17 	| reward:26.50 	| took:1.11s 	| avrege:26.60 	| loss:(actor:-6.61, critic:0.72)
episode:18 	| reward:26.73 	| took:1.10s 	| avrege:26.61 	| loss:(actor:-6.94, critic:0.35)
episode:19 	| reward:26.78 	| took:1.09s 	| avrege:26.62 	| loss:(actor:-6.70, critic:1.16)
episode:20 	| reward:26.84 	| took:1.13s 	| avrege:26.63 	| loss:(actor:-6.87, critic:0.31)
episode:21 	| reward:26.63 	| took:1.12s 	| avrege:26.63 	| loss:(actor:-6.73, critic:0.02)
episode:22 	| reward:26.59 	| took:1.12s 	| avrege:26.63 	| loss:(actor:-6.53, critic:0.44)
episode:23 	| reward:26.57 	| took:1.17s 	| avrege:26.62 	| loss:(actor:-6.48, critic:0.32)
episode:24 	| reward:24.92 	| took:1.27s 	| avrege:26.55 	| loss:(actor:-6.37, critic:0.55)
episode:25 	| reward:26.49 	| took:1.12s 	| avrege:26.55 	| loss:(actor:-6.46, critic:0.14)
episode:26 	| reward:26.53 	| took:1.19s 	| avrege:26.55 	| loss:(actor:-6.71, critic:0.45)
episode:27 	| reward:26.19 	| took:1.20s 	| avrege:26.54 	| loss:(actor:-6.44, critic:0.49)
episode:28 	| reward:25.93 	| took:1.30s 	| avrege:26.52 	| loss:(actor:-6.63, critic:0.19)
episode:29 	| reward:26.00 	| took:1.24s 	| avrege:26.50 	| loss:(actor:-6.46, critic:0.92)
episode:30 	| reward:25.89 	| took:1.14s 	| avrege:26.48 	| loss:(actor:-6.81, critic:0.23)
episode:31 	| reward:26.14 	| took:1.15s 	| avrege:26.47 	| loss:(actor:-6.41, critic:0.24)
episode:32 	| reward:26.64 	| took:1.13s 	| avrege:26.47 	| loss:(actor:-6.21, critic:0.44)
episode:33 	| reward:26.45 	| took:1.13s 	| avrege:26.47 	| loss:(actor:-6.29, critic:0.52)
episode:34 	| reward:26.68 	| took:1.18s 	| avrege:26.48 	| loss:(actor:-6.98, critic:0.07)
episode:35 	| reward:26.73 	| took:1.13s 	| avrege:26.49 	| loss:(actor:-6.34, critic:0.99)
episode:36 	| reward:26.30 	| took:1.16s 	| avrege:26.48 	| loss:(actor:-6.57, critic:0.04)
episode:37 	| reward:26.26 	| took:1.18s 	| avrege:26.48 	| loss:(actor:-6.65, critic:0.04)
episode:38 	| reward:25.25 	| took:1.24s 	| avrege:26.44 	| loss:(actor:-6.71, critic:0.06)
episode:39 	| reward:26.03 	| took:1.23s 	| avrege:26.43 	| loss:(actor:-6.72, critic:0.10)
episode:40 	| reward:12.03 	| took:0.76s 	| avrege:26.08 	| loss:(actor:-6.47, critic:0.26)
episode:41 	| reward:26.41 	| took:1.27s 	| avrege:26.09 	| loss:(actor:-6.29, critic:0.62)
episode:42 	| reward:26.57 	| took:1.22s 	| avrege:26.10 	| loss:(actor:-6.45, critic:1.66)
episode:43 	| reward:27.78 	| took:1.20s 	| avrege:26.14 	| loss:(actor:-6.27, critic:0.52)
episode:44 	| reward:28.63 	| took:1.43s 	| avrege:26.20 	| loss:(actor:-6.53, critic:0.21)
episode:45 	| reward:31.22 	| took:1.30s 	| avrege:26.30 	| loss:(actor:-6.80, critic:0.07)
episode:46 	| reward:36.50 	| took:1.43s 	| avrege:26.52 	| loss:(actor:-7.06, critic:0.46)
episode:47 	| reward:26.83 	| took:1.15s 	| avrege:26.53 	| loss:(actor:-6.75, critic:0.46)
episode:48 	| reward:28.64 	| took:1.22s 	| avrege:26.57 	| loss:(actor:-6.38, critic:0.34)
episode:49 	| reward:27.64 	| took:1.19s 	| avrege:26.59 	| loss:(actor:-6.48, critic:0.79)
episode:50 	| reward:26.61 	| took:1.14s 	| avrege:26.59 	| loss:(actor:-6.42, critic:0.61)
episode:51 	| reward:26.72 	| took:1.13s 	| avrege:26.60 	| loss:(actor:-6.97, critic:0.06)
episode:52 	| reward:27.66 	| took:1.16s 	| avrege:26.62 	| loss:(actor:-6.72, critic:0.24)
episode:53 	| reward:28.61 	| took:1.24s 	| avrege:26.65 	| loss:(actor:-6.65, critic:0.64)
episode:54 	| reward:31.65 	| took:1.25s 	| avrege:26.74 	| loss:(actor:-6.59, critic:0.39)
episode:55 	| reward:28.74 	| took:1.18s 	| avrege:26.78 	| loss:(actor:-6.89, critic:0.06)
episode:56 	| reward:28.51 	| took:1.20s 	| avrege:26.81 	| loss:(actor:-6.70, critic:0.23)
episode:57 	| reward:26.86 	| took:1.14s 	| avrege:26.81 	| loss:(actor:-7.09, critic:0.19)
episode:58 	| reward:25.82 	| took:1.16s 	| avrege:26.79 	| loss:(actor:-6.83, critic:0.19)
episode:59 	| reward:27.05 	| took:1.15s 	| avrege:26.80 	| loss:(actor:-6.37, critic:1.25)
episode:60 	| reward:26.98 	| took:1.14s 	| avrege:26.80 	| loss:(actor:-7.21, critic:0.03)
episode:61 	| reward:26.97 	| took:1.16s 	| avrege:26.80 	| loss:(actor:-6.48, critic:0.19)
episode:62 	| reward:27.04 	| took:1.18s 	| avrege:26.81 	| loss:(actor:-6.67, critic:0.06)
episode:63 	| reward:27.05 	| took:1.29s 	| avrege:26.81 	| loss:(actor:-6.79, critic:0.23)
episode:64 	| reward:27.05 	| took:1.32s 	| avrege:26.81 	| loss:(actor:-7.10, critic:0.50)
episode:65 	| reward:27.05 	| took:1.24s 	| avrege:26.82 	| loss:(actor:-6.87, critic:0.42)
episode:66 	| reward:27.05 	| took:1.22s 	| avrege:26.82 	| loss:(actor:-7.01, critic:0.22)
episode:67 	| reward:27.05 	| took:1.17s 	| avrege:26.82 	| loss:(actor:-6.81, critic:1.20)
episode:68 	| reward:27.01 	| took:1.19s 	| avrege:26.83 	| loss:(actor:-6.78, critic:0.71)
episode:69 	| reward:27.02 	| took:1.17s 	| avrege:26.83 	| loss:(actor:-7.14, critic:0.16)
episode:70 	| reward:27.00 	| took:1.23s 	| avrege:26.83 	| loss:(actor:-6.53, critic:0.84)
episode:71 	| reward:27.05 	| took:1.22s 	| avrege:26.84 	| loss:(actor:-7.13, critic:0.28)
episode:72 	| reward:27.05 	| took:1.18s 	| avrege:26.84 	| loss:(actor:-7.60, critic:0.09)
episode:73 	| reward:27.05 	| took:1.21s 	| avrege:26.84 	| loss:(actor:-7.05, critic:0.13)
episode:74 	| reward:27.05 	| took:1.38s 	| avrege:26.84 	| loss:(actor:-6.67, critic:0.80)
episode:75 	| reward:27.05 	| took:1.42s 	| avrege:26.85 	| loss:(actor:-7.10, critic:0.78)
episode:76 	| reward:27.05 	| took:1.26s 	| avrege:26.85 	| loss:(actor:-7.26, critic:0.25)
episode:77 	| reward:27.05 	| took:1.33s 	| avrege:26.85 	| loss:(actor:-6.77, critic:0.04)
episode:78 	| reward:27.01 	| took:1.24s 	| avrege:26.85 	| loss:(actor:-7.16, critic:0.32)
episode:79 	| reward:27.05 	| took:1.23s 	| avrege:26.86 	| loss:(actor:-7.50, critic:0.14)
episode:80 	| reward:27.05 	| took:1.26s 	| avrege:26.86 	| loss:(actor:-7.31, critic:0.15)
episode:81 	| reward:26.76 	| took:1.25s 	| avrege:26.86 	| loss:(actor:-7.49, critic:0.03)
episode:82 	| reward:27.05 	| took:1.26s 	| avrege:26.86 	| loss:(actor:-7.42, critic:0.70)
episode:83 	| reward:27.05 	| took:1.25s 	| avrege:26.86 	| loss:(actor:-7.51, critic:0.18)
episode:84 	| reward:27.05 	| took:1.39s 	| avrege:26.86 	| loss:(actor:-7.78, critic:0.33)
episode:85 	| reward:26.92 	| took:1.70s 	| avrege:26.86 	| loss:(actor:-7.74, critic:0.15)
episode:86 	| reward:26.99 	| took:1.36s 	| avrege:26.87 	| loss:(actor:-7.64, critic:0.42)
episode:87 	| reward:25.09 	| took:1.26s 	| avrege:26.85 	| loss:(actor:-7.66, critic:0.22)
episode:88 	| reward:26.97 	| took:1.28s 	| avrege:26.85 	| loss:(actor:-7.41, critic:0.55)
episode:89 	| reward:27.04 	| took:1.26s 	| avrege:26.85 	| loss:(actor:-7.64, critic:0.94)
episode:90 	| reward:27.03 	| took:1.27s 	| avrege:26.85 	| loss:(actor:-7.69, critic:0.21)
episode:91 	| reward:27.05 	| took:1.26s 	| avrege:26.85 	| loss:(actor:-7.59, critic:0.24)
episode:92 	| reward:27.05 	| took:1.26s 	| avrege:26.86 	| loss:(actor:-7.56, critic:0.04)
episode:93 	| reward:27.04 	| took:1.42s 	| avrege:26.86 	| loss:(actor:-7.57, critic:0.04)
episode:94 	| reward:27.02 	| took:1.31s 	| avrege:26.86 	| loss:(actor:-7.48, critic:1.03)
episode:95 	| reward:22.65 	| took:1.16s 	| avrege:26.82 	| loss:(actor:-7.99, critic:0.12)
episode:96 	| reward:26.88 	| took:1.30s 	| avrege:26.82 	| loss:(actor:-7.36, critic:0.69)
episode:97 	| reward:27.01 	| took:1.40s 	| avrege:26.82 	| loss:(actor:-7.88, critic:0.79)
episode:98 	| reward:27.02 	| took:1.30s 	| avrege:26.82 	| loss:(actor:-7.87, critic:0.17)
episode:99 	| reward:26.95 	| took:1.34s 	| avrege:26.82 	| loss:(actor:-7.98, critic:0.23)
episode:100 	| reward:23.70 	| took:1.19s 	| avrege:26.79 	| loss:(actor:-7.80, critic:0.18)
episode:101 	| reward:26.98 	| took:1.57s 	| avrege:26.80 	| loss:(actor:-7.98, critic:0.12)
episode:102 	| reward:26.98 	| took:1.80s 	| avrege:26.80 	| loss:(actor:-7.70, critic:0.10)
episode:103 	| reward:23.19 	| took:1.49s 	| avrege:26.77 	| loss:(actor:-7.74, critic:0.94)
episode:104 	| reward:26.10 	| took:1.61s 	| avrege:26.76 	| loss:(actor:-7.61, critic:0.17)
episode:105 	| reward:27.05 	| took:1.28s 	| avrege:26.77 	| loss:(actor:-7.92, critic:0.11)
episode:106 	| reward:27.05 	| took:1.42s 	| avrege:26.77 	| loss:(actor:-8.07, critic:1.37)
episode:107 	| reward:27.05 	| took:1.38s 	| avrege:26.77 	| loss:(actor:-8.06, critic:0.12)
episode:108 	| reward:27.05 	| took:1.32s 	| avrege:26.77 	| loss:(actor:-7.97, critic:0.11)
episode:109 	| reward:27.05 	| took:1.36s 	| avrege:26.77 	| loss:(actor:-8.38, critic:0.07)
episode:110 	| reward:27.05 	| took:1.33s 	| avrege:26.78 	| loss:(actor:-8.06, critic:0.60)
episode:111 	| reward:27.05 	| took:1.30s 	| avrege:26.78 	| loss:(actor:-7.80, critic:0.46)
episode:112 	| reward:27.05 	| took:1.29s 	| avrege:26.80 	| loss:(actor:-8.20, critic:0.66)
episode:113 	| reward:27.05 	| took:1.59s 	| avrege:26.80 	| loss:(actor:-8.51, critic:0.07)
episode:114 	| reward:27.05 	| took:1.32s 	| avrege:26.81 	| loss:(actor:-8.37, critic:0.11)
episode:115 	| reward:27.05 	| took:1.62s 	| avrege:26.81 	| loss:(actor:-8.73, critic:0.05)
episode:116 	| reward:27.05 	| took:1.43s 	| avrege:26.81 	| loss:(actor:-8.31, critic:0.04)
episode:117 	| reward:27.05 	| took:1.49s 	| avrege:26.82 	| loss:(actor:-8.55, critic:0.01)
episode:118 	| reward:27.05 	| took:1.32s 	| avrege:26.82 	| loss:(actor:-8.01, critic:0.07)
episode:119 	| reward:27.05 	| took:1.32s 	| avrege:26.83 	| loss:(actor:-8.22, critic:0.04)
episode:120 	| reward:27.04 	| took:1.65s 	| avrege:26.83 	| loss:(actor:-8.29, critic:0.02)
episode:121 	| reward:26.89 	| took:1.61s 	| avrege:26.83 	| loss:(actor:-8.02, critic:0.24)
episode:122 	| reward:27.05 	| took:1.22s 	| avrege:26.83 	| loss:(actor:-8.69, critic:0.11)
episode:123 	| reward:27.05 	| took:1.32s 	| avrege:26.84 	| loss:(actor:-8.73, critic:0.83)
episode:124 	| reward:27.05 	| took:1.42s 	| avrege:26.86 	| loss:(actor:-8.47, critic:0.06)
episode:125 	| reward:27.05 	| took:1.32s 	| avrege:26.87 	| loss:(actor:-8.10, critic:0.08)
episode:126 	| reward:27.05 	| took:1.29s 	| avrege:26.87 	| loss:(actor:-8.49, critic:0.13)
episode:127 	| reward:27.05 	| took:1.43s 	| avrege:26.88 	| loss:(actor:-8.40, critic:1.12)
episode:128 	| reward:27.05 	| took:1.30s 	| avrege:26.89 	| loss:(actor:-8.24, critic:0.05)
episode:129 	| reward:27.05 	| took:1.29s 	| avrege:26.90 	| loss:(actor:-8.35, critic:0.11)
episode:130 	| reward:27.05 	| took:1.33s 	| avrege:26.91 	| loss:(actor:-8.71, critic:0.16)
episode:131 	| reward:27.05 	| took:1.28s 	| avrege:26.92 	| loss:(actor:-8.80, critic:0.08)
episode:132 	| reward:27.05 	| took:1.23s 	| avrege:26.93 	| loss:(actor:-9.09, critic:0.05)
episode:133 	| reward:27.05 	| took:1.34s 	| avrege:26.93 	| loss:(actor:-8.10, critic:0.14)
episode:134 	| reward:27.05 	| took:1.35s 	| avrege:26.94 	| loss:(actor:-8.19, critic:0.20)
episode:135 	| reward:27.05 	| took:1.71s 	| avrege:26.94 	| loss:(actor:-8.49, critic:0.11)
episode:136 	| reward:27.05 	| took:1.45s 	| avrege:26.95 	| loss:(actor:-8.53, critic:0.18)
episode:137 	| reward:27.05 	| took:1.40s 	| avrege:26.95 	| loss:(actor:-8.65, critic:0.02)
episode:138 	| reward:25.10 	| took:1.37s 	| avrege:26.95 	| loss:(actor:-8.66, critic:0.37)
episode:139 	| reward:27.05 	| took:1.38s 	| avrege:26.96 	| loss:(actor:-8.33, critic:0.09)
episode:140 	| reward:27.05 	| took:1.58s 	| avrege:27.11 	| loss:(actor:-8.94, critic:0.05)
episode:141 	| reward:27.05 	| took:1.40s 	| avrege:27.12 	| loss:(actor:-8.61, critic:0.05)
episode:142 	| reward:27.05 	| took:1.32s 	| avrege:27.12 	| loss:(actor:-8.57, critic:0.99)
episode:143 	| reward:27.05 	| took:1.32s 	| avrege:27.12 	| loss:(actor:-8.64, critic:0.06)
episode:144 	| reward:27.05 	| took:1.35s 	| avrege:27.10 	| loss:(actor:-8.77, critic:0.47)
episode:145 	| reward:27.05 	| took:1.39s 	| avrege:27.06 	| loss:(actor:-7.79, critic:0.19)
episode:146 	| reward:27.05 	| took:1.39s 	| avrege:26.97 	| loss:(actor:-8.34, critic:0.10)
episode:147 	| reward:27.05 	| took:1.41s 	| avrege:26.97 	| loss:(actor:-8.98, critic:0.03)
episode:148 	| reward:27.05 	| took:1.49s 	| avrege:26.95 	| loss:(actor:-9.11, critic:0.04)
episode:149 	| reward:26.43 	| took:1.49s 	| avrege:26.94 	| loss:(actor:-8.60, critic:0.19)
episode:150 	| reward:27.05 	| took:1.48s 	| avrege:26.94 	| loss:(actor:-8.45, critic:0.10)
episode:151 	| reward:27.05 	| took:1.45s 	| avrege:26.95 	| loss:(actor:-8.81, critic:0.04)
episode:152 	| reward:27.05 	| took:1.58s 	| avrege:26.94 	| loss:(actor:-9.14, critic:0.05)
episode:153 	| reward:27.05 	| took:1.50s 	| avrege:26.93 	| loss:(actor:-9.21, critic:0.37)
episode:154 	| reward:27.05 	| took:1.65s 	| avrege:26.88 	| loss:(actor:-8.77, critic:0.66)
episode:155 	| reward:27.05 	| took:1.23s 	| avrege:26.86 	| loss:(actor:-8.53, critic:0.08)
episode:156 	| reward:27.05 	| took:1.22s 	| avrege:26.85 	| loss:(actor:-9.27, critic:0.06)
episode:157 	| reward:27.05 	| took:1.21s 	| avrege:26.85 	| loss:(actor:-8.82, critic:0.09)
episode:158 	| reward:27.05 	| took:1.31s 	| avrege:26.86 	| loss:(actor:-8.68, critic:0.24)
episode:159 	| reward:27.05 	| took:1.23s 	| avrege:26.86 	| loss:(actor:-9.32, critic:0.08)
episode:160 	| reward:25.27 	| took:1.27s 	| avrege:26.84 	| loss:(actor:-9.74, critic:0.08)
episode:161 	| reward:27.05 	| took:1.24s 	| avrege:26.85 	| loss:(actor:-9.09, critic:0.50)
episode:162 	| reward:25.31 	| took:1.22s 	| avrege:26.83 	| loss:(actor:-8.87, critic:0.05)
episode:163 	| reward:27.05 	| took:1.24s 	| avrege:26.83 	| loss:(actor:-9.21, critic:0.02)
episode:164 	| reward:26.79 	| took:1.30s 	| avrege:26.83 	| loss:(actor:-9.24, critic:0.02)
episode:165 	| reward:27.05 	| took:1.21s 	| avrege:26.83 	| loss:(actor:-9.04, critic:0.03)
episode:166 	| reward:27.05 	| took:1.27s 	| avrege:26.83 	| loss:(actor:-9.21, critic:0.06)
episode:167 	| reward:27.05 	| took:1.25s 	| avrege:26.83 	| loss:(actor:-8.99, critic:0.06)
episode:168 	| reward:27.03 	| took:1.25s 	| avrege:26.83 	| loss:(actor:-8.96, critic:0.68)
episode:169 	| reward:21.43 	| took:1.13s 	| avrege:26.77 	| loss:(actor:-9.28, critic:0.05)
episode:170 	| reward:27.05 	| took:1.31s 	| avrege:26.77 	| loss:(actor:-8.98, critic:0.02)
episode:171 	| reward:27.05 	| took:1.50s 	| avrege:26.77 	| loss:(actor:-9.15, critic:0.17)
episode:172 	| reward:27.05 	| took:1.40s 	| avrege:26.77 	| loss:(actor:-9.26, critic:0.03)
