episode:0 	| reward:-27.34 	| took:108.58s 	| avrege:-27.34)
episode:1 	| reward:-37.31 	| took:114.21s 	| avrege:-32.33)
episode:2 	| reward:-20.11 	| took:121.80s 	| avrege:-28.26)
episode:3 	| reward:-26.09 	| took:121.16s 	| avrege:-27.71)
episode:4 	| reward:-26.91 	| took:120.97s 	| avrege:-27.55)
episode:5 	| reward:-32.12 	| took:120.98s 	| avrege:-28.31)
episode:6 	| reward:-27.97 	| took:121.65s 	| avrege:-28.26)
episode:7 	| reward:-18.67 	| took:121.13s 	| avrege:-27.07)
episode:8 	| reward:-24.77 	| took:121.75s 	| avrege:-26.81)
episode:9 	| reward:-27.79 	| took:121.88s 	| avrege:-26.91)
episode:10 	| reward:-23.71 	| took:122.61s 	| avrege:-26.62)
episode:11 	| reward:-34.31 	| took:122.27s 	| avrege:-27.26)
episode:12 	| reward:-29.25 	| took:122.01s 	| avrege:-27.41)
episode:13 	| reward:-29.26 	| took:122.09s 	| avrege:-27.54)
episode:14 	| reward:-21.83 	| took:121.37s 	| avrege:-27.16)
episode:15 	| reward:-29.86 	| took:122.04s 	| avrege:-27.33)
episode:16 	| reward:-30.08 	| took:122.33s 	| avrege:-27.49)
episode:17 	| reward:-21.56 	| took:122.11s 	| avrege:-27.16)
episode:18 	| reward:-20.96 	| took:122.26s 	| avrege:-26.84)
episode:19 	| reward:-33.53 	| took:122.69s 	| avrege:-27.17)
episode:20 	| reward:-24.43 	| took:122.51s 	| avrege:-27.04)
episode:21 	| reward:-24.80 	| took:122.46s 	| avrege:-26.94)
episode:22 	| reward:-25.40 	| took:122.77s 	| avrege:-26.87)
episode:23 	| reward:-30.06 	| took:123.21s 	| avrege:-27.01)
episode:24 	| reward:-25.11 	| took:123.62s 	| avrege:-26.93)
episode:25 	| reward:-22.32 	| took:122.36s 	| avrege:-26.75)
episode:26 	| reward:-21.58 	| took:122.45s 	| avrege:-26.56)
episode:27 	| reward:-25.66 	| took:122.66s 	| avrege:-26.53)
episode:28 	| reward:-26.75 	| took:122.74s 	| avrege:-26.54)
episode:29 	| reward:-20.37 	| took:122.64s 	| avrege:-26.33)
episode:30 	| reward:-28.20 	| took:123.67s 	| avrege:-26.39)
episode:31 	| reward:-27.27 	| took:124.22s 	| avrege:-26.42)
episode:32 	| reward:-22.45 	| took:123.15s 	| avrege:-26.30)
episode:33 	| reward:-26.13 	| took:123.17s 	| avrege:-26.29)
episode:34 	| reward:-21.98 	| took:123.04s 	| avrege:-26.17)
episode:35 	| reward:-20.85 	| took:123.35s 	| avrege:-26.02)
episode:36 	| reward:-27.95 	| took:123.33s 	| avrege:-26.07)
episode:37 	| reward:-19.25 	| took:124.06s 	| avrege:-25.90)
episode:38 	| reward:-23.27 	| took:123.02s 	| avrege:-25.83)
episode:39 	| reward:-19.09 	| took:123.82s 	| avrege:-25.66)
episode:40 	| reward:-32.58 	| took:124.43s 	| avrege:-25.83)
episode:41 	| reward:-27.38 	| took:124.29s 	| avrege:-25.87)
episode:42 	| reward:-16.11 	| took:123.16s 	| avrege:-25.64)
episode:43 	| reward:-25.37 	| took:124.07s 	| avrege:-25.63)
episode:44 	| reward:-25.38 	| took:124.21s 	| avrege:-25.63)
episode:45 	| reward:-25.71 	| took:124.44s 	| avrege:-25.63)
episode:46 	| reward:-26.41 	| took:124.56s 	| avrege:-25.65)
episode:47 	| reward:-20.09 	| took:124.60s 	| avrege:-25.53)
episode:48 	| reward:-30.45 	| took:124.72s 	| avrege:-25.63)
episode:49 	| reward:-34.94 	| took:126.35s 	| avrege:-25.82)
episode:50 	| reward:-22.33 	| took:124.61s 	| avrege:-25.75)
episode:51 	| reward:-24.80 	| took:125.16s 	| avrege:-25.73)
episode:52 	| reward:-25.62 	| took:125.45s 	| avrege:-25.73)
episode:53 	| reward:-27.40 	| took:126.02s 	| avrege:-25.76)
episode:54 	| reward:-22.37 	| took:125.65s 	| avrege:-25.70)
episode:55 	| reward:-26.31 	| took:125.65s 	| avrege:-25.71)
episode:56 	| reward:-22.40 	| took:125.11s 	| avrege:-25.65)
episode:57 	| reward:-20.60 	| took:125.36s 	| avrege:-25.56)
episode:58 	| reward:-23.62 	| took:125.17s 	| avrege:-25.53)
episode:59 	| reward:-26.99 	| took:125.61s 	| avrege:-25.55)
episode:60 	| reward:-28.02 	| took:126.33s 	| avrege:-25.59)
episode:61 	| reward:-29.04 	| took:125.54s 	| avrege:-25.65)
episode:62 	| reward:-25.21 	| took:125.40s 	| avrege:-25.64)
episode:63 	| reward:-31.86 	| took:126.50s 	| avrege:-25.74)
episode:64 	| reward:-25.36 	| took:125.56s 	| avrege:-25.73)
episode:65 	| reward:-25.22 	| took:125.80s 	| avrege:-25.73)
episode:66 	| reward:-27.08 	| took:125.93s 	| avrege:-25.75)
episode:67 	| reward:-26.04 	| took:125.87s 	| avrege:-25.75)
episode:68 	| reward:-22.47 	| took:125.82s 	| avrege:-25.70)
episode:69 	| reward:-26.51 	| took:126.29s 	| avrege:-25.72)
episode:70 	| reward:-26.59 	| took:126.14s 	| avrege:-25.73)
episode:71 	| reward:-23.63 	| took:125.57s 	| avrege:-25.70)
episode:72 	| reward:-29.35 	| took:126.23s 	| avrege:-25.75)
episode:73 	| reward:-35.23 	| took:126.46s 	| avrege:-25.88)
episode:74 	| reward:-23.64 	| took:125.71s 	| avrege:-25.85)
episode:75 	| reward:-21.28 	| took:125.74s 	| avrege:-25.79)
episode:76 	| reward:-24.05 	| took:125.59s 	| avrege:-25.76)
