episode:0 	| reward:33.56 	| took:1.35s 	| avrege:33.56 	| loss:(actor:0.49, critic:0.12)
episode:1 	| reward:35.47 	| took:1.35s 	| avrege:34.51 	| loss:(actor:0.38, critic:0.07)
episode:2 	| reward:40.80 	| took:1.60s 	| avrege:36.61 	| loss:(actor:0.35, critic:0.10)
episode:3 	| reward:45.08 	| took:1.60s 	| avrege:38.73 	| loss:(actor:0.26, critic:0.12)
episode:4 	| reward:56.64 	| took:1.90s 	| avrege:42.31 	| loss:(actor:0.25, critic:0.04)
episode:5 	| reward:32.57 	| took:1.37s 	| avrege:40.69 	| loss:(actor:0.27, critic:0.04)
episode:6 	| reward:45.51 	| took:1.50s 	| avrege:41.38 	| loss:(actor:0.21, critic:0.01)
episode:7 	| reward:80.37 	| took:2.22s 	| avrege:46.25 	| loss:(actor:0.21, critic:0.02)
episode:8 	| reward:59.60 	| took:1.75s 	| avrege:47.73 	| loss:(actor:0.18, critic:0.00)
episode:9 	| reward:35.59 	| took:1.23s 	| avrege:46.52 	| loss:(actor:0.05, critic:0.02)
episode:10 	| reward:30.24 	| took:1.07s 	| avrege:45.04 	| loss:(actor:0.05, critic:0.02)
episode:11 	| reward:13.05 	| took:0.69s 	| avrege:42.37 	| loss:(actor:0.16, critic:0.00)
episode:12 	| reward:28.41 	| took:1.04s 	| avrege:41.30 	| loss:(actor:0.08, critic:0.02)
episode:13 	| reward:27.21 	| took:1.02s 	| avrege:40.29 	| loss:(actor:0.09, critic:0.00)
episode:14 	| reward:29.30 	| took:1.05s 	| avrege:39.56 	| loss:(actor:0.12, critic:0.00)
episode:15 	| reward:32.35 	| took:1.15s 	| avrege:39.11 	| loss:(actor:0.11, critic:0.00)
episode:16 	| reward:31.31 	| took:1.10s 	| avrege:38.65 	| loss:(actor:-0.01, critic:0.02)
episode:17 	| reward:49.07 	| took:1.46s 	| avrege:39.23 	| loss:(actor:0.05, critic:0.01)
episode:18 	| reward:44.39 	| took:1.32s 	| avrege:39.50 	| loss:(actor:0.15, critic:0.02)
episode:19 	| reward:52.96 	| took:1.61s 	| avrege:40.17 	| loss:(actor:0.06, critic:0.01)
episode:20 	| reward:87.93 	| took:2.19s 	| avrege:42.45 	| loss:(actor:-0.06, critic:0.00)
episode:21 	| reward:42.03 	| took:1.22s 	| avrege:42.43 	| loss:(actor:-0.02, critic:0.03)
episode:22 	| reward:38.45 	| took:1.11s 	| avrege:42.26 	| loss:(actor:-0.12, critic:0.01)
episode:23 	| reward:31.43 	| took:0.95s 	| avrege:41.81 	| loss:(actor:-0.08, critic:0.02)
episode:24 	| reward:30.43 	| took:0.92s 	| avrege:41.35 	| loss:(actor:-0.03, critic:0.00)
episode:25 	| reward:30.49 	| took:0.90s 	| avrege:40.93 	| loss:(actor:0.01, critic:0.00)
episode:26 	| reward:31.39 	| took:0.96s 	| avrege:40.58 	| loss:(actor:-0.06, critic:0.00)
episode:27 	| reward:29.50 	| took:0.88s 	| avrege:40.18 	| loss:(actor:-0.06, critic:0.03)
episode:28 	| reward:28.46 	| took:0.89s 	| avrege:39.78 	| loss:(actor:-0.09, critic:0.01)
episode:29 	| reward:30.52 	| took:0.94s 	| avrege:39.47 	| loss:(actor:-0.16, critic:0.00)
episode:30 	| reward:31.54 	| took:0.94s 	| avrege:39.22 	| loss:(actor:-0.16, critic:0.01)
episode:31 	| reward:32.42 	| took:0.97s 	| avrege:39.00 	| loss:(actor:-0.20, critic:0.00)
episode:32 	| reward:34.58 	| took:1.18s 	| avrege:38.87 	| loss:(actor:-0.10, critic:0.00)
episode:33 	| reward:31.49 	| took:0.94s 	| avrege:38.65 	| loss:(actor:-0.23, critic:0.01)
episode:34 	| reward:29.42 	| took:0.95s 	| avrege:38.39 	| loss:(actor:-0.26, critic:0.01)
episode:35 	| reward:27.35 	| took:0.90s 	| avrege:38.08 	| loss:(actor:-0.19, critic:0.02)
episode:36 	| reward:28.39 	| took:0.93s 	| avrege:37.82 	| loss:(actor:-0.18, critic:0.00)
episode:37 	| reward:28.28 	| took:0.90s 	| avrege:37.57 	| loss:(actor:-0.32, critic:0.01)
episode:38 	| reward:31.09 	| took:1.00s 	| avrege:37.40 	| loss:(actor:-0.22, critic:0.00)
episode:39 	| reward:37.66 	| took:1.20s 	| avrege:37.41 	| loss:(actor:-0.34, critic:0.01)
episode:40 	| reward:40.87 	| took:1.16s 	| avrege:37.49 	| loss:(actor:-0.38, critic:0.01)
episode:41 	| reward:37.56 	| took:1.14s 	| avrege:37.49 	| loss:(actor:-0.31, critic:0.00)
episode:42 	| reward:51.23 	| took:1.72s 	| avrege:37.81 	| loss:(actor:-0.35, critic:0.00)
episode:43 	| reward:44.74 	| took:1.47s 	| avrege:37.97 	| loss:(actor:-0.45, critic:0.00)
episode:44 	| reward:37.78 	| took:1.30s 	| avrege:37.97 	| loss:(actor:-0.47, critic:0.00)
episode:45 	| reward:35.67 	| took:1.29s 	| avrege:37.92 	| loss:(actor:-0.60, critic:0.00)
episode:46 	| reward:33.49 	| took:1.32s 	| avrege:37.82 	| loss:(actor:-0.54, critic:0.00)
episode:47 	| reward:37.63 	| took:1.39s 	| avrege:37.82 	| loss:(actor:-0.60, critic:0.00)
episode:48 	| reward:31.30 	| took:1.19s 	| avrege:37.69 	| loss:(actor:-0.53, critic:0.00)
episode:49 	| reward:46.14 	| took:1.54s 	| avrege:37.86 	| loss:(actor:-0.59, critic:0.00)
