episode:0 	| reward:27.61 	| took:1.27s 	| avrege:27.61 	| loss:(actor:-6.77, critic:1.49)
episode:1 	| reward:27.61 	| took:1.17s 	| avrege:27.61 	| loss:(actor:-5.11, critic:0.21)
episode:2 	| reward:27.61 	| took:1.21s 	| avrege:27.61 	| loss:(actor:-5.18, critic:0.46)
episode:3 	| reward:27.61 	| took:1.24s 	| avrege:27.61 	| loss:(actor:-5.14, critic:0.33)
episode:4 	| reward:27.61 	| took:1.22s 	| avrege:27.61 	| loss:(actor:-5.00, critic:0.59)
episode:5 	| reward:27.61 	| took:1.15s 	| avrege:27.61 	| loss:(actor:-5.06, critic:0.59)
episode:6 	| reward:27.61 	| took:1.13s 	| avrege:27.61 	| loss:(actor:-4.98, critic:0.04)
episode:7 	| reward:27.57 	| took:1.13s 	| avrege:27.61 	| loss:(actor:-4.92, critic:0.05)
episode:8 	| reward:27.61 	| took:1.13s 	| avrege:27.61 	| loss:(actor:-4.84, critic:0.07)
episode:9 	| reward:27.61 	| took:1.13s 	| avrege:27.61 	| loss:(actor:-4.76, critic:0.30)
episode:10 	| reward:27.61 	| took:1.25s 	| avrege:27.61 	| loss:(actor:-4.69, critic:0.31)
episode:11 	| reward:26.97 	| took:1.19s 	| avrege:27.56 	| loss:(actor:-4.96, critic:0.31)
episode:12 	| reward:27.61 	| took:1.14s 	| avrege:27.56 	| loss:(actor:-4.70, critic:0.05)
episode:13 	| reward:27.61 	| took:1.12s 	| avrege:27.56 	| loss:(actor:-4.60, critic:0.56)
episode:14 	| reward:27.61 	| took:1.11s 	| avrege:27.57 	| loss:(actor:-4.70, critic:0.05)
episode:15 	| reward:27.61 	| took:1.12s 	| avrege:27.57 	| loss:(actor:-4.74, critic:0.23)
episode:16 	| reward:27.61 	| took:1.10s 	| avrege:27.57 	| loss:(actor:-4.53, critic:0.47)
episode:17 	| reward:27.61 	| took:1.12s 	| avrege:27.58 	| loss:(actor:-4.65, critic:0.48)
episode:18 	| reward:27.61 	| took:1.15s 	| avrege:27.58 	| loss:(actor:-4.64, critic:0.63)
episode:19 	| reward:27.61 	| took:1.12s 	| avrege:27.58 	| loss:(actor:-4.69, critic:0.03)
episode:20 	| reward:27.61 	| took:1.15s 	| avrege:27.58 	| loss:(actor:-4.48, critic:0.45)
