episode:0 	| reward:31.50 	| took:1.36s 	| avrege:31.50 	| loss:(actor:-0.57, critic:0.09)
episode:1 	| reward:29.52 	| took:1.37s 	| avrege:30.51 	| loss:(actor:-0.69, critic:0.04)
episode:2 	| reward:32.39 	| took:1.37s 	| avrege:31.14 	| loss:(actor:-0.72, critic:0.02)
episode:3 	| reward:33.53 	| took:1.35s 	| avrege:31.74 	| loss:(actor:-0.73, critic:0.01)
episode:4 	| reward:33.57 	| took:1.34s 	| avrege:32.10 	| loss:(actor:-0.80, critic:0.01)
episode:5 	| reward:31.33 	| took:1.44s 	| avrege:31.97 	| loss:(actor:-0.78, critic:0.00)
episode:6 	| reward:18.94 	| took:1.04s 	| avrege:30.11 	| loss:(actor:-0.82, critic:0.00)
episode:7 	| reward:31.35 	| took:1.30s 	| avrege:30.27 	| loss:(actor:-0.80, critic:0.00)
episode:8 	| reward:25.92 	| took:1.20s 	| avrege:29.78 	| loss:(actor:-0.81, critic:0.00)
episode:9 	| reward:29.13 	| took:1.23s 	| avrege:29.72 	| loss:(actor:-0.95, critic:0.00)
episode:10 	| reward:42.31 	| took:1.59s 	| avrege:30.86 	| loss:(actor:-0.95, critic:0.00)
episode:11 	| reward:40.73 	| took:1.52s 	| avrege:31.68 	| loss:(actor:-0.88, critic:0.00)
episode:12 	| reward:34.48 	| took:1.43s 	| avrege:31.90 	| loss:(actor:-0.94, critic:0.00)
episode:13 	| reward:42.21 	| took:1.60s 	| avrege:32.64 	| loss:(actor:-0.96, critic:0.00)
episode:14 	| reward:30.27 	| took:1.26s 	| avrege:32.48 	| loss:(actor:-1.03, critic:0.00)
episode:15 	| reward:29.56 	| took:1.44s 	| avrege:32.30 	| loss:(actor:-1.09, critic:0.00)
episode:16 	| reward:30.19 	| took:1.44s 	| avrege:32.17 	| loss:(actor:-1.02, critic:0.00)
episode:17 	| reward:30.28 	| took:1.36s 	| avrege:32.07 	| loss:(actor:-1.15, critic:0.00)
episode:18 	| reward:33.54 	| took:1.39s 	| avrege:32.14 	| loss:(actor:-1.16, critic:0.00)
episode:19 	| reward:31.31 	| took:1.38s 	| avrege:32.10 	| loss:(actor:-1.02, critic:0.00)
episode:20 	| reward:31.42 	| took:1.27s 	| avrege:32.07 	| loss:(actor:-1.18, critic:0.00)
episode:21 	| reward:30.41 	| took:1.25s 	| avrege:31.99 	| loss:(actor:-1.26, critic:0.00)
episode:22 	| reward:30.31 	| took:1.23s 	| avrege:31.92 	| loss:(actor:-1.19, critic:0.00)
episode:23 	| reward:28.23 	| took:1.19s 	| avrege:31.77 	| loss:(actor:-1.35, critic:0.00)
episode:24 	| reward:27.15 	| took:1.22s 	| avrege:31.58 	| loss:(actor:-1.17, critic:0.00)
episode:25 	| reward:29.13 	| took:1.26s 	| avrege:31.49 	| loss:(actor:-1.32, critic:0.00)
episode:26 	| reward:32.23 	| took:1.32s 	| avrege:31.52 	| loss:(actor:-1.38, critic:0.01)
episode:27 	| reward:31.09 	| took:1.32s 	| avrege:31.50 	| loss:(actor:-1.31, critic:0.01)
episode:28 	| reward:30.42 	| took:1.44s 	| avrege:31.46 	| loss:(actor:-1.39, critic:0.00)
episode:29 	| reward:34.08 	| took:1.44s 	| avrege:31.55 	| loss:(actor:-1.34, critic:0.03)
episode:30 	| reward:30.16 	| took:1.35s 	| avrege:31.51 	| loss:(actor:-1.38, critic:0.01)
episode:31 	| reward:29.27 	| took:1.28s 	| avrege:31.44 	| loss:(actor:-1.52, critic:0.03)
episode:32 	| reward:35.23 	| took:1.48s 	| avrege:31.55 	| loss:(actor:-1.63, critic:0.01)
episode:33 	| reward:31.90 	| took:1.56s 	| avrege:31.56 	| loss:(actor:-1.56, critic:0.00)
episode:34 	| reward:28.63 	| took:1.27s 	| avrege:31.48 	| loss:(actor:-1.61, critic:0.00)
