episode:88 	| reward:-12.10 	| took:125.82s 	| avrege:-14.82)
episode:89 	| reward:-16.27 	| took:126.31s 	| avrege:-14.83)
episode:90 	| reward:-13.48 	| took:125.85s 	| avrege:-14.82)
episode:91 	| reward:-12.00 	| took:125.41s 	| avrege:-14.79)
episode:92 	| reward:-11.04 	| took:126.35s 	| avrege:-14.75)
episode:93 	| reward:-14.36 	| took:126.23s 	| avrege:-14.74)
episode:94 	| reward:-13.10 	| took:125.76s 	| avrege:-14.73)
episode:95 	| reward:-9.89 	| took:125.71s 	| avrege:-14.68)
episode:96 	| reward:-14.82 	| took:127.15s 	| avrege:-14.68)
episode:97 	| reward:-17.59 	| took:126.18s 	| avrege:-14.71)
episode:98 	| reward:-18.18 	| took:134.04s 	| avrege:-14.74)
episode:99 	| reward:-15.80 	| took:140.90s 	| avrege:-14.75)
episode:100 	| reward:-14.17 	| took:147.66s 	| avrege:-14.80)
episode:101 	| reward:-15.23 	| took:125.50s 	| avrege:-14.79)
episode:102 	| reward:-15.96 	| took:125.76s 	| avrege:-14.86)
episode:103 	| reward:-10.92 	| took:125.34s 	| avrege:-14.78)
episode:104 	| reward:-15.59 	| took:125.60s 	| avrege:-14.82)
episode:105 	| reward:-17.43 	| took:125.36s 	| avrege:-14.85)
episode:106 	| reward:-14.33 	| took:125.87s 	| avrege:-14.82)
episode:107 	| reward:-18.46 	| took:125.61s 	| avrege:-14.82)
episode:108 	| reward:-12.06 	| took:125.86s 	| avrege:-14.82)
episode:109 	| reward:-18.08 	| took:125.91s 	| avrege:-14.91)
episode:110 	| reward:-12.31 	| took:126.10s 	| avrege:-14.88)
episode:111 	| reward:-14.88 	| took:126.61s 	| avrege:-14.87)
episode:112 	| reward:-15.72 	| took:125.68s 	| avrege:-14.90)
episode:113 	| reward:-16.37 	| took:126.05s 	| avrege:-14.90)
episode:114 	| reward:-16.00 	| took:126.00s 	| avrege:-14.92)
episode:115 	| reward:-15.39 	| took:125.79s 	| avrege:-14.93)
episode:116 	| reward:-18.14 	| took:126.04s 	| avrege:-14.94)
episode:117 	| reward:-15.70 	| took:125.85s 	| avrege:-14.88)
episode:118 	| reward:-12.78 	| took:125.79s 	| avrege:-14.87)
episode:119 	| reward:-17.67 	| took:125.79s 	| avrege:-14.96)
episode:120 	| reward:-13.34 	| took:125.98s 	| avrege:-14.99)
episode:121 	| reward:-13.60 	| took:124.72s 	| avrege:-14.97)
episode:122 	| reward:-14.96 	| took:123.38s 	| avrege:-14.99)
episode:123 	| reward:-18.80 	| took:125.04s 	| avrege:-15.04)
episode:124 	| reward:-14.45 	| took:125.64s 	| avrege:-15.03)
episode:125 	| reward:-16.01 	| took:126.01s 	| avrege:-15.07)
episode:126 	| reward:-15.72 	| took:127.09s 	| avrege:-15.01)
episode:127 	| reward:-14.83 	| took:125.16s 	| avrege:-15.01)
episode:128 	| reward:-13.08 	| took:125.27s 	| avrege:-14.95)
