episode:0 	| reward:-188.33 	| took:179.49s 	| avrege:-188.33)
episode:1 	| reward:-241.29 	| took:189.09s 	| avrege:-214.81)
episode:2 	| reward:-198.97 	| took:199.24s 	| avrege:-209.53)
episode:3 	| reward:-110.80 	| took:222.10s 	| avrege:-184.85)
episode:4 	| reward:-254.95 	| took:200.16s 	| avrege:-198.87)
episode:5 	| reward:-142.81 	| took:178.94s 	| avrege:-189.52)
episode:6 	| reward:-201.82 	| took:175.19s 	| avrege:-191.28)
episode:7 	| reward:-282.39 	| took:175.02s 	| avrege:-202.67)
episode:8 	| reward:-131.07 	| took:184.49s 	| avrege:-194.71)
episode:9 	| reward:-318.66 	| took:178.53s 	| avrege:-207.11)
episode:10 	| reward:-144.76 	| took:178.51s 	| avrege:-201.44)
episode:11 	| reward:-260.16 	| took:179.58s 	| avrege:-206.33)
episode:12 	| reward:-141.44 	| took:179.25s 	| avrege:-201.34)
episode:13 	| reward:-247.44 	| took:179.72s 	| avrege:-204.63)
episode:14 	| reward:-261.77 	| took:179.87s 	| avrege:-208.44)
episode:15 	| reward:-181.01 	| took:180.80s 	| avrege:-206.73)
episode:16 	| reward:-322.83 	| took:182.38s 	| avrege:-213.56)
episode:17 	| reward:-380.75 	| took:184.52s 	| avrege:-222.85)
episode:18 	| reward:-129.60 	| took:187.33s 	| avrege:-217.94)
episode:19 	| reward:-361.43 	| took:162.61s 	| avrege:-225.11)
episode:20 	| reward:-197.86 	| took:160.91s 	| avrege:-223.82)
episode:21 	| reward:-202.49 	| took:162.79s 	| avrege:-222.85)
episode:22 	| reward:-186.86 	| took:161.49s 	| avrege:-221.28)
episode:23 	| reward:-234.23 	| took:161.69s 	| avrege:-221.82)
episode:24 	| reward:-295.92 	| took:161.23s 	| avrege:-224.79)
episode:25 	| reward:-105.73 	| took:161.15s 	| avrege:-220.21)
episode:26 	| reward:-314.27 	| took:162.20s 	| avrege:-223.69)
episode:27 	| reward:-239.46 	| took:161.71s 	| avrege:-224.25)
episode:28 	| reward:-276.32 	| took:163.16s 	| avrege:-226.05)
episode:29 	| reward:-221.15 	| took:165.13s 	| avrege:-225.89)
episode:30 	| reward:-243.58 	| took:164.06s 	| avrege:-226.46)
episode:31 	| reward:-135.57 	| took:165.16s 	| avrege:-223.62)
episode:32 	| reward:-233.05 	| took:167.01s 	| avrege:-223.90)
episode:33 	| reward:-293.90 	| took:167.11s 	| avrege:-225.96)
episode:34 	| reward:-117.39 	| took:169.92s 	| avrege:-222.86)
episode:35 	| reward:-153.10 	| took:183.60s 	| avrege:-220.92)
episode:36 	| reward:-300.96 	| took:195.47s 	| avrege:-223.08)
episode:37 	| reward:-225.33 	| took:197.82s 	| avrege:-223.14)
episode:38 	| reward:-102.37 	| took:197.51s 	| avrege:-220.05)
episode:39 	| reward:-344.98 	| took:198.68s 	| avrege:-223.17)
episode:40 	| reward:-273.51 	| took:199.43s 	| avrege:-224.40)
episode:41 	| reward:-394.02 	| took:200.61s 	| avrege:-228.44)
episode:42 	| reward:-186.16 	| took:199.89s 	| avrege:-227.45)
episode:43 	| reward:-210.55 	| took:200.74s 	| avrege:-227.07)
episode:44 	| reward:-195.33 	| took:200.85s 	| avrege:-226.36)
episode:45 	| reward:-100.76 	| took:200.93s 	| avrege:-223.63)
episode:46 	| reward:-153.10 	| took:200.41s 	| avrege:-222.13)
episode:47 	| reward:-200.03 	| took:199.40s 	| avrege:-221.67)
episode:48 	| reward:-128.46 	| took:201.11s 	| avrege:-219.77)
episode:49 	| reward:-306.06 	| took:200.91s 	| avrege:-221.50)
episode:50 	| reward:-238.57 	| took:201.51s 	| avrege:-221.83)
episode:51 	| reward:-118.24 	| took:200.29s 	| avrege:-219.84)
episode:52 	| reward:-129.12 	| took:201.07s 	| avrege:-218.13)
episode:53 	| reward:-336.94 	| took:201.98s 	| avrege:-220.33)
episode:54 	| reward:-342.54 	| took:202.35s 	| avrege:-222.55)
episode:55 	| reward:-208.66 	| took:201.24s 	| avrege:-222.30)
episode:56 	| reward:-303.43 	| took:200.23s 	| avrege:-223.72)
episode:57 	| reward:-244.05 	| took:200.88s 	| avrege:-224.07)
episode:58 	| reward:-298.27 	| took:201.06s 	| avrege:-225.33)
episode:59 	| reward:-276.96 	| took:201.96s 	| avrege:-226.19)
episode:60 	| reward:-207.60 	| took:201.25s 	| avrege:-225.89)
episode:61 	| reward:-207.87 	| took:201.63s 	| avrege:-225.60)
episode:62 	| reward:-292.53 	| took:201.80s 	| avrege:-226.66)
episode:63 	| reward:-149.15 	| took:201.79s 	| avrege:-225.45)
episode:64 	| reward:-199.68 	| took:200.71s 	| avrege:-225.05)
