episode:58 	| reward:49.11 	| took:49.21s 	| avrege:41.98 	| loss:(actor:-1.38, critic:0.01)
episode:59 	| reward:61.50 	| took:49.44s 	| avrege:42.31 	| loss:(actor:-1.63, critic:0.01)
episode:60 	| reward:50.98 	| took:49.93s 	| avrege:42.45 	| loss:(actor:-1.57, critic:0.00)
episode:61 	| reward:28.47 	| took:50.29s 	| avrege:42.22 	| loss:(actor:-1.90, critic:0.46)
episode:62 	| reward:49.23 	| took:50.34s 	| avrege:42.33 	| loss:(actor:-1.23, critic:0.00)
episode:63 	| reward:34.50 	| took:50.70s 	| avrege:42.21 	| loss:(actor:-1.13, critic:0.00)
episode:64 	| reward:52.56 	| took:51.16s 	| avrege:42.37 	| loss:(actor:-1.19, critic:0.00)
episode:65 	| reward:60.25 	| took:51.16s 	| avrege:42.64 	| loss:(actor:-1.36, critic:0.05)
episode:66 	| reward:29.64 	| took:51.51s 	| avrege:42.45 	| loss:(actor:-1.34, critic:0.01)
episode:67 	| reward:27.65 	| took:51.96s 	| avrege:42.23 	| loss:(actor:-1.42, critic:0.00)
episode:68 	| reward:52.69 	| took:52.22s 	| avrege:42.38 	| loss:(actor:-1.28, critic:0.00)
episode:69 	| reward:57.64 	| took:52.79s 	| avrege:42.60 	| loss:(actor:-1.17, critic:0.00)
episode:70 	| reward:43.64 	| took:52.87s 	| avrege:42.61 	| loss:(actor:-1.30, critic:0.00)
episode:71 	| reward:84.31 	| took:53.14s 	| avrege:43.19 	| loss:(actor:-1.61, critic:0.00)
episode:72 	| reward:54.31 	| took:53.85s 	| avrege:43.35 	| loss:(actor:-1.04, critic:0.00)
episode:73 	| reward:46.21 	| took:53.77s 	| avrege:43.38 	| loss:(actor:-1.13, critic:0.00)
episode:74 	| reward:51.32 	| took:53.21s 	| avrege:43.49 	| loss:(actor:-1.52, critic:0.00)
episode:75 	| reward:55.52 	| took:53.64s 	| avrege:43.65 	| loss:(actor:-1.17, critic:0.00)
episode:76 	| reward:24.38 	| took:53.80s 	| avrege:43.40 	| loss:(actor:-1.16, critic:0.00)
episode:77 	| reward:58.80 	| took:54.27s 	| avrege:43.60 	| loss:(actor:-1.27, critic:0.00)
episode:78 	| reward:55.67 	| took:54.50s 	| avrege:43.75 	| loss:(actor:-1.14, critic:0.01)
episode:79 	| reward:23.09 	| took:54.70s 	| avrege:43.49 	| loss:(actor:-1.24, critic:0.00)
episode:80 	| reward:51.28 	| took:55.09s 	| avrege:43.59 	| loss:(actor:-1.29, critic:0.00)
episode:81 	| reward:45.43 	| took:55.33s 	| avrege:43.61 	| loss:(actor:-1.22, critic:0.00)
episode:82 	| reward:74.59 	| took:55.39s 	| avrege:43.98 	| loss:(actor:-1.40, critic:0.00)
episode:83 	| reward:58.31 	| took:55.98s 	| avrege:44.15 	| loss:(actor:-0.96, critic:0.00)
episode:84 	| reward:67.12 	| took:58.52s 	| avrege:44.42 	| loss:(actor:-1.01, critic:0.01)
episode:85 	| reward:54.01 	| took:60.85s 	| avrege:44.53 	| loss:(actor:-1.25, critic:0.00)
episode:86 	| reward:43.22 	| took:1159.34s 	| avrege:44.52 	| loss:(actor:-1.44, critic:0.01)
episode:87 	| reward:43.48 	| took:56.23s 	| avrege:44.51 	| loss:(actor:-1.08, critic:0.00)
episode:88 	| reward:40.85 	| took:51.01s 	| avrege:44.47 	| loss:(actor:-1.00, critic:0.00)
episode:89 	| reward:44.17 	| took:51.54s 	| avrege:44.46 	| loss:(actor:-1.35, critic:0.00)
episode:90 	| reward:38.48 	| took:52.96s 	| avrege:44.40 	| loss:(actor:-1.26, critic:0.00)
episode:91 	| reward:38.88 	| took:52.65s 	| avrege:44.34 	| loss:(actor:-1.30, critic:0.00)
episode:92 	| reward:21.97 	| took:63.29s 	| avrege:44.10 	| loss:(actor:-1.00, critic:0.05)
episode:93 	| reward:37.86 	| took:72.25s 	| avrege:44.03 	| loss:(actor:-0.92, critic:0.00)
episode:94 	| reward:59.04 	| took:63.41s 	| avrege:44.19 	| loss:(actor:-1.43, critic:0.00)
episode:95 	| reward:36.68 	| took:64.68s 	| avrege:44.11 	| loss:(actor:-1.31, critic:0.00)
episode:96 	| reward:28.91 	| took:66.22s 	| avrege:43.95 	| loss:(actor:-0.89, critic:0.00)
episode:97 	| reward:35.52 	| took:67.59s 	| avrege:43.87 	| loss:(actor:-1.24, critic:0.00)
episode:98 	| reward:47.31 	| took:69.09s 	| avrege:43.90 	| loss:(actor:-1.24, critic:0.02)
episode:99 	| reward:34.60 	| took:66.77s 	| avrege:43.81 	| loss:(actor:-1.23, critic:0.04)
episode:100 	| reward:37.73 	| took:68.77s 	| avrege:44.16 	| loss:(actor:-1.33, critic:0.00)
episode:101 	| reward:78.50 	| took:66.86s 	| avrege:44.92 	| loss:(actor:-0.94, critic:0.00)
episode:102 	| reward:40.55 	| took:66.28s 	| avrege:45.30 	| loss:(actor:-1.27, critic:0.05)
episode:103 	| reward:39.81 	| took:79.39s 	| avrege:45.67 	| loss:(actor:-1.00, critic:0.00)
episode:104 	| reward:71.27 	| took:76.50s 	| avrege:46.36 	| loss:(actor:-1.05, critic:0.00)
episode:105 	| reward:43.42 	| took:75.12s 	| avrege:46.77 	| loss:(actor:-1.22, critic:0.01)
episode:106 	| reward:40.79 	| took:70.37s 	| avrege:47.15 	| loss:(actor:-1.37, critic:0.01)
episode:107 	| reward:48.90 	| took:72.59s 	| avrege:47.61 	| loss:(actor:-1.49, critic:0.03)
episode:108 	| reward:71.82 	| took:76.06s 	| avrege:47.67 	| loss:(actor:-1.13, critic:0.00)
episode:109 	| reward:63.18 	| took:71.32s 	| avrege:47.83 	| loss:(actor:-1.06, critic:0.00)
episode:110 	| reward:36.53 	| took:70.23s 	| avrege:47.69 	| loss:(actor:-1.04, critic:0.00)
episode:111 	| reward:68.30 	| took:69.68s 	| avrege:48.16 	| loss:(actor:-1.12, critic:0.00)
episode:112 	| reward:49.08 	| took:70.25s 	| avrege:48.08 	| loss:(actor:-1.03, critic:0.00)
episode:113 	| reward:70.31 	| took:71.09s 	| avrege:48.22 	| loss:(actor:-1.20, critic:0.00)
episode:114 	| reward:33.09 	| took:71.41s 	| avrege:47.95 	| loss:(actor:-1.20, critic:0.01)
episode:115 	| reward:47.52 	| took:71.21s 	| avrege:48.05 	| loss:(actor:-1.25, critic:0.00)
episode:116 	| reward:55.07 	| took:73.10s 	| avrege:48.05 	| loss:(actor:-1.08, critic:0.00)
episode:117 	| reward:36.99 	| took:82.36s 	| avrege:47.90 	| loss:(actor:-1.07, critic:0.00)
