episode:0 	| reward:-180.37 	| took:117.48s 	| avrege:-180.37)
episode:1 	| reward:-175.86 	| took:119.01s 	| avrege:-178.11)
episode:2 	| reward:-228.55 	| took:128.61s 	| avrege:-194.93)
episode:3 	| reward:-253.50 	| took:117.85s 	| avrege:-209.57)
episode:4 	| reward:-205.00 	| took:118.20s 	| avrege:-208.66)
episode:5 	| reward:39.28 	| took:118.95s 	| avrege:-167.33)
episode:6 	| reward:-132.60 	| took:117.83s 	| avrege:-162.37)
episode:7 	| reward:-94.45 	| took:123.18s 	| avrege:-153.88)
episode:8 	| reward:-144.85 	| took:121.61s 	| avrege:-152.88)
episode:9 	| reward:-72.77 	| took:121.96s 	| avrege:-144.87)
episode:10 	| reward:-147.27 	| took:123.24s 	| avrege:-145.09)
episode:11 	| reward:-119.68 	| took:124.92s 	| avrege:-142.97)
episode:12 	| reward:-116.77 	| took:128.13s 	| avrege:-140.95)
episode:13 	| reward:-130.52 	| took:125.62s 	| avrege:-140.21)
episode:14 	| reward:-150.34 	| took:118.92s 	| avrege:-140.88)
episode:15 	| reward:-130.74 	| took:117.98s 	| avrege:-140.25)
episode:16 	| reward:-156.58 	| took:121.22s 	| avrege:-141.21)
episode:17 	| reward:-104.91 	| took:118.23s 	| avrege:-139.19)
episode:18 	| reward:-129.13 	| took:119.03s 	| avrege:-138.66)
episode:19 	| reward:-162.49 	| took:117.95s 	| avrege:-139.85)
episode:20 	| reward:-157.20 	| took:118.98s 	| avrege:-140.68)
episode:21 	| reward:-73.84 	| took:118.71s 	| avrege:-137.64)
episode:22 	| reward:-91.25 	| took:119.05s 	| avrege:-135.63)
episode:23 	| reward:-164.83 	| took:118.55s 	| avrege:-136.84)
episode:24 	| reward:-229.08 	| took:121.12s 	| avrege:-140.53)
episode:25 	| reward:-147.68 	| took:120.86s 	| avrege:-140.81)
episode:26 	| reward:-196.40 	| took:120.53s 	| avrege:-142.87)
episode:27 	| reward:-192.09 	| took:118.77s 	| avrege:-144.62)
episode:28 	| reward:-217.73 	| took:119.19s 	| avrege:-147.14)
episode:29 	| reward:-76.11 	| took:118.34s 	| avrege:-144.78)
episode:30 	| reward:-152.26 	| took:119.04s 	| avrege:-145.02)
episode:31 	| reward:-176.00 	| took:119.33s 	| avrege:-145.99)
episode:32 	| reward:-207.90 	| took:118.53s 	| avrege:-147.86)
episode:33 	| reward:-95.36 	| took:118.10s 	| avrege:-146.32)
episode:34 	| reward:-115.81 	| took:119.27s 	| avrege:-145.45)
episode:35 	| reward:-148.87 	| took:117.98s 	| avrege:-145.54)
episode:36 	| reward:-152.01 	| took:117.81s 	| avrege:-145.72)
episode:37 	| reward:-123.40 	| took:120.08s 	| avrege:-145.13)
episode:38 	| reward:-260.05 	| took:120.36s 	| avrege:-148.08)
episode:39 	| reward:-52.02 	| took:120.45s 	| avrege:-145.67)
episode:40 	| reward:-239.44 	| took:120.93s 	| avrege:-147.96)
episode:41 	| reward:-104.73 	| took:118.18s 	| avrege:-146.93)
episode:42 	| reward:-113.49 	| took:119.03s 	| avrege:-146.15)
episode:43 	| reward:-230.91 	| took:119.82s 	| avrege:-148.08)
episode:44 	| reward:-136.60 	| took:120.59s 	| avrege:-147.83)
episode:45 	| reward:-118.06 	| took:120.85s 	| avrege:-147.18)
episode:46 	| reward:-55.12 	| took:119.51s 	| avrege:-145.22)
episode:47 	| reward:-118.53 	| took:127.31s 	| avrege:-144.66)
episode:48 	| reward:-45.38 	| took:123.10s 	| avrege:-142.64)
episode:49 	| reward:-110.90 	| took:123.32s 	| avrege:-142.00)
episode:50 	| reward:-88.73 	| took:124.29s 	| avrege:-140.96)
episode:51 	| reward:-96.45 	| took:122.32s 	| avrege:-140.10)
episode:52 	| reward:-127.13 	| took:125.21s 	| avrege:-139.86)
episode:53 	| reward:-141.65 	| took:123.47s 	| avrege:-139.89)
episode:54 	| reward:-117.13 	| took:122.10s 	| avrege:-139.48)
episode:55 	| reward:-148.50 	| took:124.62s 	| avrege:-139.64)
episode:56 	| reward:-99.23 	| took:124.69s 	| avrege:-138.93)
episode:57 	| reward:-259.97 	| took:131.59s 	| avrege:-141.02)
episode:58 	| reward:-113.13 	| took:122.07s 	| avrege:-140.54)
episode:59 	| reward:-83.20 	| took:122.61s 	| avrege:-139.59)
episode:60 	| reward:-109.43 	| took:122.87s 	| avrege:-139.09)
episode:61 	| reward:-170.06 	| took:123.17s 	| avrege:-139.59)
episode:62 	| reward:-141.11 	| took:123.67s 	| avrege:-139.62)
episode:63 	| reward:-135.95 	| took:122.72s 	| avrege:-139.56)
episode:64 	| reward:-153.98 	| took:123.37s 	| avrege:-139.78)
episode:65 	| reward:-256.99 	| took:124.45s 	| avrege:-141.56)
episode:66 	| reward:-83.79 	| took:125.71s 	| avrege:-140.70)
episode:67 	| reward:-155.42 	| took:132.40s 	| avrege:-140.91)
episode:68 	| reward:-74.58 	| took:124.05s 	| avrege:-139.95)
episode:69 	| reward:-153.24 	| took:125.08s 	| avrege:-140.14)
episode:70 	| reward:-96.20 	| took:125.33s 	| avrege:-139.52)
episode:71 	| reward:-278.04 	| took:125.23s 	| avrege:-141.45)
episode:72 	| reward:-110.47 	| took:124.97s 	| avrege:-141.02)
episode:73 	| reward:-91.71 	| took:124.10s 	| avrege:-140.35)
episode:74 	| reward:-73.05 	| took:126.74s 	| avrege:-139.46)
episode:75 	| reward:-105.52 	| took:124.35s 	| avrege:-139.01)
episode:76 	| reward:-183.52 	| took:125.28s 	| avrege:-139.59)
episode:77 	| reward:-105.43 	| took:126.02s 	| avrege:-139.15)
episode:78 	| reward:-156.03 	| took:124.83s 	| avrege:-139.36)
episode:79 	| reward:-28.68 	| took:124.33s 	| avrege:-137.98)
episode:80 	| reward:-134.14 	| took:126.13s 	| avrege:-137.93)
episode:81 	| reward:-116.13 	| took:126.89s 	| avrege:-137.67)
episode:82 	| reward:-131.42 	| took:124.76s 	| avrege:-137.59)
episode:83 	| reward:-138.28 	| took:124.85s 	| avrege:-137.60)
episode:84 	| reward:-107.58 	| took:123.96s 	| avrege:-137.25)
episode:85 	| reward:-194.63 	| took:127.36s 	| avrege:-137.91)
episode:86 	| reward:-145.15 	| took:125.31s 	| avrege:-138.00)
episode:87 	| reward:-50.53 	| took:124.58s 	| avrege:-137.00)
episode:88 	| reward:-90.70 	| took:127.61s 	| avrege:-136.48)
episode:89 	| reward:-154.18 	| took:124.74s 	| avrege:-136.68)
episode:90 	| reward:-112.97 	| took:124.56s 	| avrege:-136.42)
episode:91 	| reward:-236.59 	| took:125.81s 	| avrege:-137.51)
episode:92 	| reward:-162.01 	| took:124.10s 	| avrege:-137.77)
episode:93 	| reward:-161.29 	| took:126.52s 	| avrege:-138.02)
episode:94 	| reward:-134.41 	| took:124.25s 	| avrege:-137.98)
episode:95 	| reward:-256.06 	| took:127.77s 	| avrege:-139.21)
episode:96 	| reward:-216.93 	| took:124.31s 	| avrege:-140.02)
episode:97 	| reward:-122.08 	| took:124.28s 	| avrege:-139.83)
episode:98 	| reward:-135.46 	| took:124.56s 	| avrege:-139.79)
episode:99 	| reward:-92.92 	| took:124.02s 	| avrege:-139.32)
episode:100 	| reward:-171.20 	| took:125.99s 	| avrege:-139.23)
episode:101 	| reward:-54.62 	| took:124.23s 	| avrege:-138.02)
episode:102 	| reward:-222.13 	| took:125.03s 	| avrege:-137.95)
episode:103 	| reward:-172.39 	| took:126.36s 	| avrege:-137.14)
episode:104 	| reward:-114.19 	| took:125.57s 	| avrege:-136.23)
episode:105 	| reward:-92.34 	| took:127.16s 	| avrege:-137.55)
episode:106 	| reward:-146.44 	| took:126.20s 	| avrege:-137.69)
episode:107 	| reward:-90.69 	| took:133.98s 	| avrege:-137.65)
episode:108 	| reward:-152.02 	| took:137.87s 	| avrege:-137.72)
episode:109 	| reward:-170.90 	| took:134.12s 	| avrege:-138.70)
episode:110 	| reward:-48.44 	| took:129.52s 	| avrege:-137.71)
episode:111 	| reward:-185.58 	| took:131.00s 	| avrege:-138.37)
episode:112 	| reward:-97.04 	| took:137.19s 	| avrege:-138.18)
episode:113 	| reward:-96.27 	| took:134.69s 	| avrege:-137.83)
episode:114 	| reward:-126.26 	| took:130.65s 	| avrege:-137.59)
episode:115 	| reward:-172.68 	| took:135.38s 	| avrege:-138.01)
episode:116 	| reward:-241.59 	| took:139.56s 	| avrege:-138.86)
episode:117 	| reward:-159.46 	| took:146.44s 	| avrege:-139.41)
episode:118 	| reward:-100.60 	| took:141.79s 	| avrege:-139.12)
episode:119 	| reward:-51.65 	| took:134.01s 	| avrege:-138.01)
episode:120 	| reward:-98.45 	| took:132.78s 	| avrege:-137.43)
episode:121 	| reward:-147.73 	| took:132.75s 	| avrege:-138.16)
