episode:0 	| reward:25.40 	| took:1.26s 	| avrege:25.40 	| loss:(actor:-0.39, critic:1.40)
episode:1 	| reward:28.65 	| took:1.45s 	| avrege:27.03 	| loss:(actor:-0.13, critic:0.38)
episode:2 	| reward:31.55 	| took:1.46s 	| avrege:28.54 	| loss:(actor:-0.39, critic:0.18)
episode:3 	| reward:27.38 	| took:1.21s 	| avrege:28.25 	| loss:(actor:-0.35, critic:0.16)
episode:4 	| reward:30.38 	| took:1.34s 	| avrege:28.67 	| loss:(actor:-0.35, critic:0.10)
episode:5 	| reward:41.13 	| took:1.64s 	| avrege:30.75 	| loss:(actor:-0.38, critic:0.06)
episode:6 	| reward:21.53 	| took:1.02s 	| avrege:29.43 	| loss:(actor:-0.36, critic:0.05)
episode:7 	| reward:43.45 	| took:1.71s 	| avrege:31.18 	| loss:(actor:-0.32, critic:0.02)
episode:8 	| reward:35.43 	| took:1.37s 	| avrege:31.66 	| loss:(actor:-0.37, critic:0.01)
episode:9 	| reward:29.76 	| took:1.46s 	| avrege:31.47 	| loss:(actor:-0.36, critic:0.01)
episode:10 	| reward:27.84 	| took:1.18s 	| avrege:31.14 	| loss:(actor:-0.24, critic:0.01)
episode:11 	| reward:28.73 	| took:1.18s 	| avrege:30.94 	| loss:(actor:-0.27, critic:0.01)
episode:12 	| reward:29.78 	| took:1.24s 	| avrege:30.85 	| loss:(actor:-0.20, critic:0.01)
episode:13 	| reward:27.73 	| took:1.16s 	| avrege:30.62 	| loss:(actor:-0.20, critic:0.01)
episode:14 	| reward:27.79 	| took:1.15s 	| avrege:30.44 	| loss:(actor:-0.11, critic:0.00)
episode:15 	| reward:27.70 	| took:1.14s 	| avrege:30.26 	| loss:(actor:-0.13, critic:0.00)
episode:16 	| reward:26.91 	| took:1.19s 	| avrege:30.07 	| loss:(actor:-0.11, critic:0.00)
episode:17 	| reward:27.86 	| took:1.13s 	| avrege:29.94 	| loss:(actor:-0.12, critic:0.03)
episode:18 	| reward:26.95 	| took:1.13s 	| avrege:29.79 	| loss:(actor:-0.10, critic:0.00)
episode:19 	| reward:28.86 	| took:1.15s 	| avrege:29.74 	| loss:(actor:-0.14, critic:0.01)
episode:20 	| reward:28.63 	| took:1.18s 	| avrege:29.69 	| loss:(actor:-0.10, critic:0.01)
episode:21 	| reward:28.55 	| took:1.20s 	| avrege:29.64 	| loss:(actor:-0.07, critic:0.01)
episode:22 	| reward:29.46 	| took:1.19s 	| avrege:29.63 	| loss:(actor:-0.12, critic:0.00)
episode:23 	| reward:35.34 	| took:1.40s 	| avrege:29.87 	| loss:(actor:-0.17, critic:0.00)
episode:24 	| reward:44.29 	| took:1.62s 	| avrege:30.44 	| loss:(actor:-0.14, critic:0.00)
episode:25 	| reward:31.43 	| took:1.31s 	| avrege:30.48 	| loss:(actor:-0.17, critic:0.01)
episode:26 	| reward:36.52 	| took:1.57s 	| avrege:30.71 	| loss:(actor:-0.16, critic:0.01)
episode:27 	| reward:35.22 	| took:1.46s 	| avrege:30.87 	| loss:(actor:-0.21, critic:0.00)
episode:28 	| reward:27.36 	| took:1.28s 	| avrege:30.75 	| loss:(actor:-0.18, critic:0.00)
episode:29 	| reward:29.51 	| took:1.26s 	| avrege:30.70 	| loss:(actor:-0.27, critic:0.00)
episode:30 	| reward:26.67 	| took:1.17s 	| avrege:30.57 	| loss:(actor:-0.24, critic:0.01)
episode:31 	| reward:27.67 	| took:1.21s 	| avrege:30.48 	| loss:(actor:-0.30, critic:0.00)
episode:32 	| reward:27.69 	| took:1.23s 	| avrege:30.40 	| loss:(actor:-0.27, critic:0.00)
episode:33 	| reward:27.19 	| took:1.24s 	| avrege:30.30 	| loss:(actor:-0.30, critic:0.00)
episode:34 	| reward:27.87 	| took:1.22s 	| avrege:30.24 	| loss:(actor:-0.27, critic:0.00)
episode:35 	| reward:32.68 	| took:1.36s 	| avrege:30.30 	| loss:(actor:-0.42, critic:0.00)
episode:36 	| reward:31.65 	| took:1.39s 	| avrege:30.34 	| loss:(actor:-0.41, critic:0.00)
episode:37 	| reward:26.83 	| took:1.28s 	| avrege:30.25 	| loss:(actor:-0.46, critic:0.00)
episode:38 	| reward:26.70 	| took:1.25s 	| avrege:30.16 	| loss:(actor:-0.44, critic:0.00)
episode:39 	| reward:26.68 	| took:1.29s 	| avrege:30.07 	| loss:(actor:-0.44, critic:0.01)
episode:40 	| reward:28.61 	| took:1.41s 	| avrege:30.03 	| loss:(actor:-0.55, critic:0.00)
episode:41 	| reward:33.63 	| took:1.43s 	| avrege:30.12 	| loss:(actor:-0.49, critic:0.00)
episode:42 	| reward:30.71 	| took:1.36s 	| avrege:30.13 	| loss:(actor:-0.43, critic:0.00)
