episode:0 	| reward:31.45 	| took:1.58s 	| avrege:31.45 	| loss:(actor:2.43, critic:1.06)
episode:1 	| reward:54.01 	| took:1.92s 	| avrege:42.73 	| loss:(actor:2.33, critic:0.35)
episode:2 	| reward:17.93 	| took:0.98s 	| avrege:34.46 	| loss:(actor:2.20, critic:0.52)
episode:3 	| reward:32.28 	| took:1.32s 	| avrege:33.92 	| loss:(actor:2.25, critic:0.40)
episode:4 	| reward:33.21 	| took:1.36s 	| avrege:33.78 	| loss:(actor:2.36, critic:0.18)
episode:5 	| reward:32.44 	| took:1.34s 	| avrege:33.55 	| loss:(actor:2.09, critic:0.48)
episode:6 	| reward:55.76 	| took:2.06s 	| avrege:36.73 	| loss:(actor:2.12, critic:0.25)
episode:7 	| reward:41.16 	| took:1.59s 	| avrege:37.28 	| loss:(actor:2.01, critic:0.17)
episode:8 	| reward:33.28 	| took:1.36s 	| avrege:36.83 	| loss:(actor:1.92, critic:0.04)
episode:9 	| reward:33.25 	| took:1.38s 	| avrege:36.48 	| loss:(actor:1.98, critic:0.15)
episode:10 	| reward:30.58 	| took:1.30s 	| avrege:35.94 	| loss:(actor:1.81, critic:0.24)
episode:11 	| reward:31.56 	| took:1.46s 	| avrege:35.57 	| loss:(actor:1.76, critic:0.31)
episode:12 	| reward:30.35 	| took:1.31s 	| avrege:35.17 	| loss:(actor:1.70, critic:0.31)
episode:13 	| reward:33.00 	| took:1.48s 	| avrege:35.02 	| loss:(actor:1.69, critic:0.09)
episode:14 	| reward:62.37 	| took:2.42s 	| avrege:36.84 	| loss:(actor:1.73, critic:0.01)
episode:15 	| reward:63.87 	| took:2.51s 	| avrege:38.53 	| loss:(actor:1.44, critic:0.17)
episode:16 	| reward:39.17 	| took:1.72s 	| avrege:38.57 	| loss:(actor:1.46, critic:0.01)
episode:17 	| reward:29.45 	| took:1.51s 	| avrege:38.06 	| loss:(actor:1.40, critic:0.07)
episode:18 	| reward:37.23 	| took:1.66s 	| avrege:38.02 	| loss:(actor:1.33, critic:0.14)
episode:19 	| reward:42.57 	| took:2.07s 	| avrege:38.25 	| loss:(actor:1.21, critic:0.06)
episode:20 	| reward:44.71 	| took:1.94s 	| avrege:38.55 	| loss:(actor:1.15, critic:0.07)
episode:21 	| reward:54.38 	| took:2.39s 	| avrege:39.27 	| loss:(actor:1.19, critic:0.00)
episode:22 	| reward:47.48 	| took:2.17s 	| avrege:39.63 	| loss:(actor:1.26, critic:0.01)
episode:23 	| reward:64.94 	| took:3.13s 	| avrege:40.68 	| loss:(actor:1.03, critic:0.05)
episode:24 	| reward:31.43 	| took:1.63s 	| avrege:40.31 	| loss:(actor:1.08, critic:0.10)
episode:25 	| reward:27.85 	| took:1.53s 	| avrege:39.83 	| loss:(actor:1.01, critic:0.01)
episode:26 	| reward:37.30 	| took:1.83s 	| avrege:39.74 	| loss:(actor:0.96, critic:0.00)
episode:27 	| reward:41.75 	| took:2.04s 	| avrege:39.81 	| loss:(actor:0.91, critic:0.00)
episode:28 	| reward:32.20 	| took:1.61s 	| avrege:39.55 	| loss:(actor:0.82, critic:0.08)
episode:29 	| reward:38.53 	| took:1.91s 	| avrege:39.52 	| loss:(actor:0.94, critic:0.00)
episode:30 	| reward:28.81 	| took:1.47s 	| avrege:39.17 	| loss:(actor:0.90, critic:0.08)
episode:31 	| reward:31.68 	| took:1.58s 	| avrege:38.94 	| loss:(actor:0.75, critic:0.01)
episode:32 	| reward:42.70 	| took:2.01s 	| avrege:39.05 	| loss:(actor:0.76, critic:0.00)
episode:33 	| reward:33.67 	| took:1.80s 	| avrege:38.89 	| loss:(actor:0.66, critic:0.06)
episode:34 	| reward:33.70 	| took:1.69s 	| avrege:38.74 	| loss:(actor:0.75, critic:0.00)
episode:35 	| reward:39.77 	| took:1.93s 	| avrege:38.77 	| loss:(actor:0.64, critic:0.04)
episode:36 	| reward:49.24 	| took:2.50s 	| avrege:39.06 	| loss:(actor:0.61, critic:0.00)
episode:37 	| reward:39.96 	| took:1.90s 	| avrege:39.08 	| loss:(actor:0.60, critic:0.05)
episode:38 	| reward:36.87 	| took:1.82s 	| avrege:39.02 	| loss:(actor:0.52, critic:0.02)
episode:39 	| reward:36.01 	| took:1.72s 	| avrege:38.95 	| loss:(actor:0.51, critic:0.00)
episode:40 	| reward:43.96 	| took:2.30s 	| avrege:39.07 	| loss:(actor:0.54, critic:0.00)
episode:41 	| reward:35.07 	| took:1.86s 	| avrege:38.97 	| loss:(actor:0.55, critic:0.02)
episode:42 	| reward:38.88 	| took:1.94s 	| avrege:38.97 	| loss:(actor:0.33, critic:0.04)
episode:43 	| reward:44.15 	| took:2.10s 	| avrege:39.09 	| loss:(actor:0.42, critic:0.01)
episode:44 	| reward:41.22 	| took:1.96s 	| avrege:39.14 	| loss:(actor:0.42, critic:0.01)
episode:45 	| reward:36.79 	| took:1.75s 	| avrege:39.09 	| loss:(actor:0.25, critic:0.02)
episode:46 	| reward:32.73 	| took:1.60s 	| avrege:38.95 	| loss:(actor:0.24, critic:0.00)
episode:47 	| reward:34.86 	| took:1.77s 	| avrege:38.87 	| loss:(actor:0.27, critic:0.01)
episode:48 	| reward:36.66 	| took:1.79s 	| avrege:38.82 	| loss:(actor:0.07, critic:0.00)
episode:49 	| reward:28.81 	| took:1.50s 	| avrege:38.62 	| loss:(actor:0.32, critic:0.01)
episode:50 	| reward:34.57 	| took:1.76s 	| avrege:38.54 	| loss:(actor:0.19, critic:0.00)
episode:51 	| reward:32.64 	| took:1.63s 	| avrege:38.43 	| loss:(actor:0.01, critic:0.02)
episode:52 	| reward:32.09 	| took:1.60s 	| avrege:38.31 	| loss:(actor:0.09, critic:0.01)
episode:53 	| reward:31.68 	| took:1.71s 	| avrege:38.19 	| loss:(actor:-0.06, critic:0.00)
episode:54 	| reward:38.42 	| took:1.77s 	| avrege:38.19 	| loss:(actor:0.18, critic:0.01)
episode:55 	| reward:32.35 	| took:1.61s 	| avrege:38.09 	| loss:(actor:-0.12, critic:0.00)
episode:56 	| reward:31.46 	| took:1.52s 	| avrege:37.97 	| loss:(actor:0.02, critic:0.00)
episode:57 	| reward:31.32 	| took:1.54s 	| avrege:37.85 	| loss:(actor:-0.02, critic:0.00)
episode:58 	| reward:30.42 	| took:1.53s 	| avrege:37.73 	| loss:(actor:-0.21, critic:0.00)
episode:59 	| reward:29.34 	| took:1.48s 	| avrege:37.59 	| loss:(actor:-0.11, critic:0.00)
episode:60 	| reward:27.34 	| took:1.44s 	| avrege:37.42 	| loss:(actor:-0.07, critic:0.00)
episode:61 	| reward:30.50 	| took:1.81s 	| avrege:37.31 	| loss:(actor:-0.22, critic:0.00)
episode:62 	| reward:33.41 	| took:1.68s 	| avrege:37.25 	| loss:(actor:-0.26, critic:0.00)
episode:63 	| reward:33.44 	| took:1.61s 	| avrege:37.19 	| loss:(actor:-0.41, critic:0.00)
episode:64 	| reward:30.44 	| took:1.58s 	| avrege:37.08 	| loss:(actor:-0.28, critic:0.00)
episode:65 	| reward:32.46 	| took:1.54s 	| avrege:37.01 	| loss:(actor:-0.23, critic:0.00)
