episode:0 	| reward:53.74 	| took:0.51s 	| avrege:53.74 	| loss:(actor:-1.10, critic:0.39)
episode:1 	| reward:53.74 	| took:0.43s 	| avrege:53.74 	| loss:(actor:-1.06, critic:0.16)
episode:2 	| reward:53.74 	| took:0.44s 	| avrege:53.74 	| loss:(actor:-0.99, critic:0.31)
episode:3 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.26, critic:0.05)
episode:4 	| reward:53.74 	| took:0.43s 	| avrege:53.74 	| loss:(actor:-1.36, critic:0.10)
episode:5 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.21, critic:0.04)
episode:6 	| reward:53.74 	| took:0.47s 	| avrege:53.74 	| loss:(actor:-1.29, critic:0.06)
episode:7 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.39, critic:0.42)
episode:8 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.55, critic:0.01)
episode:9 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.38, critic:0.02)
episode:10 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.45, critic:0.08)
episode:11 	| reward:53.74 	| took:0.49s 	| avrege:53.74 	| loss:(actor:-1.66, critic:0.08)
episode:12 	| reward:53.74 	| took:0.44s 	| avrege:53.74 	| loss:(actor:-1.65, critic:0.02)
episode:13 	| reward:53.74 	| took:0.45s 	| avrege:53.74 	| loss:(actor:-1.78, critic:0.04)
episode:14 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.69, critic:0.06)
episode:15 	| reward:53.74 	| took:0.43s 	| avrege:53.74 	| loss:(actor:-1.71, critic:0.01)
episode:16 	| reward:53.74 	| took:0.43s 	| avrege:53.74 	| loss:(actor:-1.87, critic:0.01)
episode:17 	| reward:53.74 	| took:0.43s 	| avrege:53.74 	| loss:(actor:-1.89, critic:0.01)
episode:18 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-1.85, critic:0.01)
episode:19 	| reward:53.74 	| took:0.42s 	| avrege:53.74 	| loss:(actor:-2.07, critic:0.02)
