episode:0 	| reward:0.33 	| took:1.27s 	| avrege:0.33 	| loss:(actor:-0.70, critic:0.17)
episode:1 	| reward:0.43 	| took:1.28s 	| avrege:0.38 	| loss:(actor:-0.53, critic:0.04)
episode:2 	| reward:0.34 	| took:1.13s 	| avrege:0.37 	| loss:(actor:-0.53, critic:0.00)
episode:3 	| reward:0.31 	| took:1.02s 	| avrege:0.35 	| loss:(actor:-0.51, critic:0.00)
episode:4 	| reward:0.29 	| took:0.97s 	| avrege:0.34 	| loss:(actor:-0.52, critic:0.01)
episode:5 	| reward:0.32 	| took:1.08s 	| avrege:0.33 	| loss:(actor:-0.51, critic:0.01)
episode:6 	| reward:0.35 	| took:1.26s 	| avrege:0.34 	| loss:(actor:-0.52, critic:0.01)
episode:7 	| reward:0.29 	| took:0.97s 	| avrege:0.33 	| loss:(actor:-0.53, critic:0.01)
episode:8 	| reward:0.33 	| took:1.10s 	| avrege:0.33 	| loss:(actor:-0.52, critic:0.01)
episode:9 	| reward:0.37 	| took:1.18s 	| avrege:0.33 	| loss:(actor:-0.53, critic:0.00)
episode:10 	| reward:0.38 	| took:1.15s 	| avrege:0.34 	| loss:(actor:-0.52, critic:0.00)
episode:11 	| reward:0.35 	| took:1.07s 	| avrege:0.34 	| loss:(actor:-0.52, critic:0.01)
episode:12 	| reward:0.33 	| took:1.09s 	| avrege:0.34 	| loss:(actor:-0.50, critic:0.01)
episode:13 	| reward:0.35 	| took:1.07s 	| avrege:0.34 	| loss:(actor:-0.52, critic:0.01)
episode:14 	| reward:0.32 	| took:1.13s 	| avrege:0.34 	| loss:(actor:-0.52, critic:0.00)
episode:15 	| reward:0.31 	| took:1.04s 	| avrege:0.34 	| loss:(actor:-0.52, critic:0.01)
episode:16 	| reward:0.29 	| took:0.96s 	| avrege:0.33 	| loss:(actor:-0.51, critic:0.01)
episode:17 	| reward:0.28 	| took:0.99s 	| avrege:0.33 	| loss:(actor:-0.52, critic:0.00)
episode:18 	| reward:0.29 	| took:0.99s 	| avrege:0.33 	| loss:(actor:-0.52, critic:0.01)
