episode:0 	| reward:37.43 	| took:1.25s 	| avrege:37.43 	| loss:(actor:-0.15, critic:0.12)
episode:1 	| reward:30.31 	| took:1.06s 	| avrege:33.87 	| loss:(actor:-0.28, critic:0.12)
episode:2 	| reward:46.91 	| took:1.50s 	| avrege:38.22 	| loss:(actor:-0.48, critic:0.11)
episode:3 	| reward:31.23 	| took:1.08s 	| avrege:36.47 	| loss:(actor:-0.39, critic:0.10)
episode:4 	| reward:34.45 	| took:1.17s 	| avrege:36.07 	| loss:(actor:-0.46, critic:0.12)
episode:5 	| reward:40.90 	| took:1.35s 	| avrege:36.87 	| loss:(actor:-0.47, critic:0.08)
episode:6 	| reward:58.82 	| took:1.70s 	| avrege:40.01 	| loss:(actor:-0.55, critic:0.07)
episode:7 	| reward:46.60 	| took:1.50s 	| avrege:40.83 	| loss:(actor:-0.58, critic:0.09)
episode:8 	| reward:44.11 	| took:1.40s 	| avrege:41.19 	| loss:(actor:-0.65, critic:0.11)
episode:9 	| reward:88.06 	| took:2.45s 	| avrege:45.88 	| loss:(actor:-0.70, critic:0.08)
episode:10 	| reward:35.44 	| took:1.24s 	| avrege:44.93 	| loss:(actor:-0.78, critic:0.10)
episode:11 	| reward:46.99 	| took:1.47s 	| avrege:45.10 	| loss:(actor:-0.82, critic:0.10)
episode:12 	| reward:38.70 	| took:1.36s 	| avrege:44.61 	| loss:(actor:-0.87, critic:0.09)
episode:13 	| reward:36.29 	| took:1.24s 	| avrege:44.02 	| loss:(actor:-0.90, critic:0.10)
episode:14 	| reward:40.23 	| took:1.30s 	| avrege:43.76 	| loss:(actor:-0.92, critic:0.09)
episode:15 	| reward:29.61 	| took:1.11s 	| avrege:42.88 	| loss:(actor:-0.92, critic:0.08)
episode:16 	| reward:84.56 	| took:2.33s 	| avrege:45.33 	| loss:(actor:-1.05, critic:0.08)
episode:17 	| reward:50.80 	| took:1.61s 	| avrege:45.64 	| loss:(actor:-1.08, critic:0.11)
episode:18 	| reward:56.25 	| took:1.90s 	| avrege:46.19 	| loss:(actor:-1.11, critic:0.08)
episode:19 	| reward:49.85 	| took:1.57s 	| avrege:46.38 	| loss:(actor:-1.19, critic:0.09)
episode:20 	| reward:50.34 	| took:1.60s 	| avrege:46.57 	| loss:(actor:-1.21, critic:0.08)
episode:21 	| reward:45.90 	| took:1.52s 	| avrege:46.54 	| loss:(actor:-1.20, critic:0.09)
episode:22 	| reward:39.11 	| took:1.29s 	| avrege:46.21 	| loss:(actor:-1.28, critic:0.07)
episode:23 	| reward:38.49 	| took:1.31s 	| avrege:45.89 	| loss:(actor:-1.32, critic:0.08)
episode:24 	| reward:51.32 	| took:1.55s 	| avrege:46.11 	| loss:(actor:-1.33, critic:0.07)
episode:25 	| reward:33.22 	| took:1.22s 	| avrege:45.61 	| loss:(actor:-1.33, critic:0.08)
episode:26 	| reward:51.09 	| took:1.57s 	| avrege:45.82 	| loss:(actor:-1.38, critic:0.10)
episode:27 	| reward:52.82 	| took:1.65s 	| avrege:46.07 	| loss:(actor:-1.45, critic:0.07)
episode:28 	| reward:53.87 	| took:1.65s 	| avrege:46.34 	| loss:(actor:-1.49, critic:0.09)
episode:29 	| reward:48.83 	| took:1.57s 	| avrege:46.42 	| loss:(actor:-1.54, critic:0.08)
