episode:0 	| reward:53.28 	| took:1.88s 	| avrege:53.28 	| loss:(actor:-1.31, critic:0.60)
episode:1 	| reward:24.65 	| took:0.99s 	| avrege:38.96 	| loss:(actor:-0.62, critic:0.34)
episode:2 	| reward:24.82 	| took:1.01s 	| avrege:34.25 	| loss:(actor:-0.33, critic:0.32)
episode:3 	| reward:25.31 	| took:1.06s 	| avrege:32.01 	| loss:(actor:-0.25, critic:0.24)
episode:4 	| reward:24.23 	| took:0.98s 	| avrege:30.46 	| loss:(actor:-0.22, critic:0.22)
episode:5 	| reward:25.79 	| took:1.05s 	| avrege:29.68 	| loss:(actor:-0.28, critic:0.17)
episode:6 	| reward:25.33 	| took:0.98s 	| avrege:29.06 	| loss:(actor:-0.33, critic:0.10)
episode:7 	| reward:25.04 	| took:0.99s 	| avrege:28.55 	| loss:(actor:-0.37, critic:0.06)
episode:8 	| reward:24.69 	| took:0.99s 	| avrege:28.12 	| loss:(actor:-0.39, critic:0.02)
episode:9 	| reward:24.66 	| took:0.99s 	| avrege:27.78 	| loss:(actor:-0.46, critic:0.01)
episode:10 	| reward:25.68 	| took:1.00s 	| avrege:27.59 	| loss:(actor:-0.53, critic:0.01)
episode:11 	| reward:26.49 	| took:1.01s 	| avrege:27.50 	| loss:(actor:-0.56, critic:0.00)
episode:12 	| reward:26.30 	| took:0.97s 	| avrege:27.40 	| loss:(actor:-0.53, critic:0.00)
episode:13 	| reward:25.70 	| took:0.98s 	| avrege:27.28 	| loss:(actor:-0.55, critic:0.01)
episode:14 	| reward:25.39 	| took:1.09s 	| avrege:27.16 	| loss:(actor:-0.59, critic:0.00)
episode:15 	| reward:25.51 	| took:1.00s 	| avrege:27.05 	| loss:(actor:-0.66, critic:0.00)
episode:16 	| reward:25.07 	| took:1.11s 	| avrege:26.94 	| loss:(actor:-0.66, critic:0.00)
episode:17 	| reward:25.14 	| took:1.09s 	| avrege:26.84 	| loss:(actor:-0.67, critic:0.00)
episode:18 	| reward:24.75 	| took:0.99s 	| avrege:26.73 	| loss:(actor:-0.64, critic:0.00)
episode:19 	| reward:24.52 	| took:1.01s 	| avrege:26.62 	| loss:(actor:-0.70, critic:0.00)
episode:20 	| reward:24.52 	| took:1.01s 	| avrege:26.52 	| loss:(actor:-0.66, critic:0.00)
episode:21 	| reward:24.52 	| took:1.12s 	| avrege:26.43 	| loss:(actor:-0.71, critic:0.00)
episode:22 	| reward:24.52 	| took:1.12s 	| avrege:26.34 	| loss:(actor:-0.76, critic:0.00)
episode:23 	| reward:24.52 	| took:1.00s 	| avrege:26.27 	| loss:(actor:-0.75, critic:0.00)
episode:24 	| reward:24.95 	| took:0.99s 	| avrege:26.22 	| loss:(actor:-0.74, critic:0.00)
episode:25 	| reward:25.50 	| took:1.00s 	| avrege:26.19 	| loss:(actor:-0.80, critic:0.00)
episode:26 	| reward:25.74 	| took:0.99s 	| avrege:26.17 	| loss:(actor:-0.81, critic:0.00)
episode:27 	| reward:24.84 	| took:1.05s 	| avrege:26.12 	| loss:(actor:-0.84, critic:0.00)
episode:28 	| reward:24.53 	| took:1.04s 	| avrege:26.07 	| loss:(actor:-0.86, critic:0.00)
episode:29 	| reward:24.62 	| took:1.01s 	| avrege:26.02 	| loss:(actor:-0.89, critic:0.00)
episode:30 	| reward:24.96 	| took:1.00s 	| avrege:25.99 	| loss:(actor:-0.92, critic:0.00)
episode:31 	| reward:24.77 	| took:1.04s 	| avrege:25.95 	| loss:(actor:-0.97, critic:0.00)
episode:32 	| reward:25.11 	| took:1.13s 	| avrege:25.92 	| loss:(actor:-0.97, critic:0.00)
episode:33 	| reward:25.00 	| took:1.03s 	| avrege:25.90 	| loss:(actor:-1.02, critic:0.00)
episode:34 	| reward:24.72 	| took:1.00s 	| avrege:25.86 	| loss:(actor:-1.03, critic:0.00)
episode:35 	| reward:24.52 	| took:1.00s 	| avrege:25.82 	| loss:(actor:-1.07, critic:0.00)
episode:36 	| reward:24.52 	| took:1.00s 	| avrege:25.79 	| loss:(actor:-1.05, critic:0.00)
episode:37 	| reward:24.99 	| took:1.00s 	| avrege:25.77 	| loss:(actor:-1.09, critic:0.00)
episode:38 	| reward:23.15 	| took:1.00s 	| avrege:25.70 	| loss:(actor:-1.15, critic:0.00)
episode:39 	| reward:25.06 	| took:1.00s 	| avrege:25.69 	| loss:(actor:-1.15, critic:0.00)
episode:40 	| reward:25.01 	| took:1.00s 	| avrege:25.67 	| loss:(actor:-1.12, critic:0.00)
episode:41 	| reward:25.10 	| took:1.12s 	| avrege:25.66 	| loss:(actor:-1.18, critic:0.00)
episode:42 	| reward:24.87 	| took:1.00s 	| avrege:25.64 	| loss:(actor:-1.27, critic:0.00)
episode:43 	| reward:25.38 	| took:1.01s 	| avrege:25.63 	| loss:(actor:-1.31, critic:0.00)
episode:44 	| reward:25.58 	| took:1.05s 	| avrege:25.63 	| loss:(actor:-1.29, critic:0.00)
episode:45 	| reward:25.58 	| took:1.00s 	| avrege:25.63 	| loss:(actor:-1.28, critic:0.02)
episode:46 	| reward:25.54 	| took:1.03s 	| avrege:25.63 	| loss:(actor:-1.26, critic:0.00)
episode:47 	| reward:23.47 	| took:1.03s 	| avrege:25.58 	| loss:(actor:-1.38, critic:0.01)
episode:48 	| reward:25.33 	| took:1.03s 	| avrege:25.58 	| loss:(actor:-1.33, critic:0.01)
episode:49 	| reward:25.32 	| took:1.03s 	| avrege:25.57 	| loss:(actor:-1.41, critic:0.01)
episode:50 	| reward:25.16 	| took:1.02s 	| avrege:25.56 	| loss:(actor:-1.38, critic:0.00)
episode:51 	| reward:24.84 	| took:1.07s 	| avrege:25.55 	| loss:(actor:-1.49, critic:0.01)
episode:52 	| reward:24.97 	| took:1.03s 	| avrege:25.54 	| loss:(actor:-1.49, critic:0.00)
episode:53 	| reward:25.26 	| took:1.00s 	| avrege:25.53 	| loss:(actor:-1.51, critic:0.01)
episode:54 	| reward:25.53 	| took:1.00s 	| avrege:25.53 	| loss:(actor:-1.52, critic:0.00)
episode:55 	| reward:25.52 	| took:1.07s 	| avrege:25.53 	| loss:(actor:-1.53, critic:0.00)
episode:56 	| reward:23.94 	| took:0.99s 	| avrege:25.51 	| loss:(actor:-1.63, critic:0.00)
episode:57 	| reward:25.09 	| took:1.00s 	| avrege:25.50 	| loss:(actor:-1.62, critic:0.00)
episode:58 	| reward:25.23 	| took:1.04s 	| avrege:25.49 	| loss:(actor:-1.68, critic:0.02)
episode:59 	| reward:25.33 	| took:1.17s 	| avrege:25.49 	| loss:(actor:-1.62, critic:0.00)
episode:60 	| reward:25.34 	| took:1.01s 	| avrege:25.49 	| loss:(actor:-1.72, critic:0.01)
episode:61 	| reward:25.39 	| took:0.98s 	| avrege:25.49 	| loss:(actor:-1.66, critic:0.01)
episode:62 	| reward:25.27 	| took:0.99s 	| avrege:25.48 	| loss:(actor:-1.70, critic:0.00)
episode:63 	| reward:25.22 	| took:1.03s 	| avrege:25.48 	| loss:(actor:-1.74, critic:0.00)
episode:64 	| reward:25.48 	| took:1.00s 	| avrege:25.48 	| loss:(actor:-1.77, critic:0.00)
episode:65 	| reward:25.40 	| took:1.00s 	| avrege:25.48 	| loss:(actor:-1.87, critic:0.03)
episode:66 	| reward:25.32 	| took:1.05s 	| avrege:25.48 	| loss:(actor:-1.95, critic:0.00)
episode:67 	| reward:25.19 	| took:1.00s 	| avrege:25.47 	| loss:(actor:-1.92, critic:0.02)
episode:68 	| reward:24.78 	| took:1.02s 	| avrege:25.46 	| loss:(actor:-1.90, critic:0.00)
episode:69 	| reward:24.96 	| took:0.99s 	| avrege:25.45 	| loss:(actor:-1.82, critic:0.00)
episode:70 	| reward:24.98 	| took:0.98s 	| avrege:25.45 	| loss:(actor:-1.95, critic:0.02)
episode:71 	| reward:25.08 	| took:1.02s 	| avrege:25.44 	| loss:(actor:-2.10, critic:0.04)
episode:72 	| reward:25.40 	| took:1.00s 	| avrege:25.44 	| loss:(actor:-1.98, critic:0.00)
episode:73 	| reward:26.22 	| took:1.00s 	| avrege:25.45 	| loss:(actor:-1.95, critic:0.02)
episode:74 	| reward:26.31 	| took:1.04s 	| avrege:25.46 	| loss:(actor:-2.01, critic:0.00)
episode:75 	| reward:26.05 	| took:1.01s 	| avrege:25.47 	| loss:(actor:-2.17, critic:0.00)
episode:76 	| reward:25.81 	| took:1.02s 	| avrege:25.48 	| loss:(actor:-2.10, critic:0.00)
episode:77 	| reward:25.93 	| took:1.01s 	| avrege:25.48 	| loss:(actor:-2.30, critic:0.06)
episode:78 	| reward:25.77 	| took:1.04s 	| avrege:25.49 	| loss:(actor:-2.26, critic:0.04)
episode:79 	| reward:27.92 	| took:1.04s 	| avrege:25.52 	| loss:(actor:-2.40, critic:0.00)
episode:80 	| reward:27.13 	| took:1.17s 	| avrege:25.54 	| loss:(actor:-2.33, critic:0.00)
episode:81 	| reward:30.80 	| took:1.17s 	| avrege:25.60 	| loss:(actor:-2.27, critic:0.00)
episode:82 	| reward:27.13 	| took:1.27s 	| avrege:25.62 	| loss:(actor:-2.32, critic:0.03)
episode:83 	| reward:29.38 	| took:1.23s 	| avrege:25.66 	| loss:(actor:-2.36, critic:0.04)
episode:84 	| reward:34.29 	| took:1.38s 	| avrege:25.76 	| loss:(actor:-2.33, critic:0.00)
episode:85 	| reward:36.80 	| took:1.55s 	| avrege:25.89 	| loss:(actor:-2.32, critic:0.05)
episode:86 	| reward:33.37 	| took:1.31s 	| avrege:25.98 	| loss:(actor:-2.44, critic:0.00)
episode:87 	| reward:36.16 	| took:1.46s 	| avrege:26.09 	| loss:(actor:-2.36, critic:0.05)
episode:88 	| reward:299.24 	| took:22.81s 	| avrege:29.16 	| loss:(actor:-2.94, critic:0.07)
episode:89 	| reward:146.99 	| took:9.26s 	| avrege:30.47 	| loss:(actor:-3.28, critic:0.11)
episode:90 	| reward:248.14 	| took:11.09s 	| avrege:32.87 	| loss:(actor:-3.33, critic:0.11)
episode:91 	| reward:155.07 	| took:8.13s 	| avrege:34.19 	| loss:(actor:-3.49, critic:0.12)
episode:92 	| reward:476.83 	| took:26.18s 	| avrege:38.95 	| loss:(actor:-4.28, critic:0.18)
episode:93 	| reward:129.68 	| took:4.97s 	| avrege:39.92 	| loss:(actor:-4.45, critic:0.02)
episode:94 	| reward:163.52 	| took:6.30s 	| avrege:41.22 	| loss:(actor:-4.60, critic:0.75)
episode:95 	| reward:17.21 	| took:0.87s 	| avrege:40.97 	| loss:(actor:-4.82, critic:0.58)
episode:96 	| reward:560.07 	| took:45.08s 	| avrege:46.32 	| loss:(actor:-5.55, critic:0.01)
episode:97 	| reward:368.46 	| took:20.05s 	| avrege:49.61 	| loss:(actor:-6.17, critic:0.38)
episode:98 	| reward:122.60 	| took:5.71s 	| avrege:50.35 	| loss:(actor:-6.23, critic:0.49)
episode:99 	| reward:120.38 	| took:5.11s 	| avrege:51.05 	| loss:(actor:-5.84, critic:0.02)
episode:100 	| reward:287.62 	| took:11.18s 	| avrege:53.39 	| loss:(actor:-6.51, critic:0.01)
episode:101 	| reward:212.82 	| took:11.47s 	| avrege:55.27 	| loss:(actor:-6.78, critic:0.02)
episode:102 	| reward:120.20 	| took:5.00s 	| avrege:56.22 	| loss:(actor:-7.01, critic:0.35)
episode:103 	| reward:227.67 	| took:17.18s 	| avrege:58.25 	| loss:(actor:-7.36, critic:0.63)
episode:104 	| reward:183.48 	| took:7.47s 	| avrege:59.84 	| loss:(actor:-7.45, critic:0.71)
episode:105 	| reward:163.09 	| took:5.87s 	| avrege:61.21 	| loss:(actor:-7.43, critic:0.94)
episode:106 	| reward:178.65 	| took:6.19s 	| avrege:62.75 	| loss:(actor:-7.98, critic:0.01)
episode:107 	| reward:102.17 	| took:3.80s 	| avrege:63.52 	| loss:(actor:-7.40, critic:0.03)
episode:108 	| reward:81.59 	| took:4.45s 	| avrege:64.09 	| loss:(actor:-8.02, critic:1.19)
episode:109 	| reward:98.66 	| took:4.08s 	| avrege:64.83 	| loss:(actor:-7.80, critic:0.05)
episode:110 	| reward:92.93 	| took:4.04s 	| avrege:65.50 	| loss:(actor:-7.67, critic:0.03)
episode:111 	| reward:92.81 	| took:4.02s 	| avrege:66.16 	| loss:(actor:-8.00, critic:0.04)
episode:112 	| reward:60.84 	| took:2.58s 	| avrege:66.51 	| loss:(actor:-7.96, critic:0.04)
episode:113 	| reward:44.69 	| took:2.23s 	| avrege:66.70 	| loss:(actor:-8.11, critic:0.04)
episode:114 	| reward:38.98 	| took:1.59s 	| avrege:66.83 	| loss:(actor:-7.98, critic:0.04)
episode:115 	| reward:41.19 	| took:1.94s 	| avrege:66.99 	| loss:(actor:-8.21, critic:0.03)
episode:116 	| reward:39.00 	| took:2.14s 	| avrege:67.13 	| loss:(actor:-8.49, critic:0.72)
episode:117 	| reward:27.49 	| took:1.95s 	| avrege:67.15 	| loss:(actor:-8.70, critic:0.01)
episode:118 	| reward:29.58 	| took:1.73s 	| avrege:67.20 	| loss:(actor:-8.51, critic:0.93)
episode:119 	| reward:28.51 	| took:1.41s 	| avrege:67.24 	| loss:(actor:-8.19, critic:1.34)
episode:120 	| reward:28.48 	| took:1.37s 	| avrege:67.28 	| loss:(actor:-8.55, critic:2.10)
episode:121 	| reward:27.50 	| took:1.27s 	| avrege:67.31 	| loss:(actor:-8.76, critic:1.93)
episode:122 	| reward:27.41 	| took:1.23s 	| avrege:67.34 	| loss:(actor:-8.43, critic:0.04)
episode:123 	| reward:27.36 	| took:1.24s 	| avrege:67.37 	| loss:(actor:-8.70, critic:0.03)
episode:124 	| reward:13.06 	| took:0.81s 	| avrege:67.25 	| loss:(actor:-8.94, critic:0.02)
episode:125 	| reward:27.29 	| took:1.24s 	| avrege:67.27 	| loss:(actor:-8.65, critic:0.02)
episode:126 	| reward:27.26 	| took:1.19s 	| avrege:67.28 	| loss:(actor:-8.67, critic:0.02)
episode:127 	| reward:33.22 	| took:1.51s 	| avrege:67.37 	| loss:(actor:-8.43, critic:0.02)
episode:128 	| reward:33.31 	| took:1.45s 	| avrege:67.45 	| loss:(actor:-8.50, critic:0.02)
episode:129 	| reward:32.47 	| took:1.40s 	| avrege:67.53 	| loss:(actor:-8.79, critic:0.93)
episode:130 	| reward:32.48 	| took:1.38s 	| avrege:67.61 	| loss:(actor:-8.90, critic:0.02)
episode:131 	| reward:29.47 	| took:1.40s 	| avrege:67.65 	| loss:(actor:-8.96, critic:1.48)
episode:132 	| reward:31.46 	| took:1.38s 	| avrege:67.72 	| loss:(actor:-8.49, critic:0.03)
episode:133 	| reward:31.40 	| took:1.46s 	| avrege:67.78 	| loss:(actor:-8.61, critic:0.03)
episode:134 	| reward:29.41 	| took:1.31s 	| avrege:67.83 	| loss:(actor:-9.30, critic:1.10)
episode:135 	| reward:27.46 	| took:1.24s 	| avrege:67.86 	| loss:(actor:-8.63, critic:0.06)
episode:136 	| reward:30.62 	| took:1.45s 	| avrege:67.92 	| loss:(actor:-8.63, critic:2.77)
episode:137 	| reward:27.53 	| took:1.46s 	| avrege:67.95 	| loss:(actor:-8.82, critic:0.06)
episode:138 	| reward:13.08 	| took:0.84s 	| avrege:67.84 	| loss:(actor:-8.75, critic:0.02)
episode:139 	| reward:27.55 	| took:1.29s 	| avrege:67.87 	| loss:(actor:-8.42, critic:0.06)
episode:140 	| reward:27.55 	| took:1.29s 	| avrege:67.89 	| loss:(actor:-9.01, critic:1.58)
episode:141 	| reward:29.55 	| took:1.35s 	| avrege:67.94 	| loss:(actor:-8.68, critic:1.56)
episode:142 	| reward:27.48 	| took:1.47s 	| avrege:67.97 	| loss:(actor:-9.07, critic:0.04)
episode:143 	| reward:30.56 	| took:1.33s 	| avrege:68.02 	| loss:(actor:-9.07, critic:0.02)
episode:144 	| reward:29.19 	| took:1.38s 	| avrege:68.05 	| loss:(actor:-9.36, critic:0.07)
episode:145 	| reward:40.15 	| took:1.63s 	| avrege:68.20 	| loss:(actor:-8.95, critic:0.02)
episode:146 	| reward:32.35 	| took:1.41s 	| avrege:68.27 	| loss:(actor:-9.12, critic:1.65)
episode:147 	| reward:34.11 	| took:1.47s 	| avrege:68.37 	| loss:(actor:-9.38, critic:0.94)
episode:148 	| reward:37.31 	| took:1.64s 	| avrege:68.49 	| loss:(actor:-9.09, critic:1.61)
episode:149 	| reward:55.13 	| took:2.24s 	| avrege:68.79 	| loss:(actor:-9.56, critic:0.13)
episode:150 	| reward:41.56 	| took:1.73s 	| avrege:68.96 	| loss:(actor:-9.13, critic:0.04)
episode:151 	| reward:43.88 	| took:1.85s 	| avrege:69.15 	| loss:(actor:-8.99, critic:1.51)
episode:152 	| reward:44.31 	| took:1.91s 	| avrege:69.34 	| loss:(actor:-9.28, critic:0.08)
episode:153 	| reward:37.09 	| took:1.57s 	| avrege:69.46 	| loss:(actor:-9.36, critic:0.02)
episode:154 	| reward:32.28 	| took:1.42s 	| avrege:69.52 	| loss:(actor:-9.46, critic:0.04)
episode:155 	| reward:40.10 	| took:1.70s 	| avrege:69.67 	| loss:(actor:-9.78, critic:0.11)
episode:156 	| reward:41.54 	| took:1.73s 	| avrege:69.85 	| loss:(actor:-9.06, critic:2.29)
episode:157 	| reward:39.29 	| took:1.72s 	| avrege:69.99 	| loss:(actor:-9.22, critic:0.04)
episode:158 	| reward:46.80 	| took:2.00s 	| avrege:70.20 	| loss:(actor:-9.69, critic:0.03)
episode:159 	| reward:50.90 	| took:2.12s 	| avrege:70.46 	| loss:(actor:-9.69, critic:1.59)
episode:160 	| reward:83.84 	| took:3.27s 	| avrege:71.04 	| loss:(actor:-10.02, critic:0.04)
episode:161 	| reward:82.86 	| took:3.46s 	| avrege:71.62 	| loss:(actor:-9.92, critic:0.01)
