episode:0 	| reward:0.28 	| took:1.13s 	| avrege:0.28 	| loss:(actor:-3.76, critic:0.98)
episode:1 	| reward:0.28 	| took:1.13s 	| avrege:0.28 	| loss:(actor:-3.57, critic:0.74)
episode:2 	| reward:0.25 	| took:1.23s 	| avrege:0.27 	| loss:(actor:-3.36, critic:0.41)
episode:3 	| reward:0.28 	| took:1.21s 	| avrege:0.27 	| loss:(actor:-3.26, critic:0.37)
episode:4 	| reward:0.28 	| took:1.21s 	| avrege:0.27 	| loss:(actor:-3.15, critic:0.20)
episode:5 	| reward:0.27 	| took:1.24s 	| avrege:0.27 	| loss:(actor:-3.24, critic:0.24)
episode:6 	| reward:0.27 	| took:1.18s 	| avrege:0.27 	| loss:(actor:-3.32, critic:0.10)
episode:7 	| reward:0.27 	| took:1.20s 	| avrege:0.27 	| loss:(actor:-3.18, critic:0.04)
episode:8 	| reward:0.27 	| took:1.26s 	| avrege:0.27 	| loss:(actor:-3.14, critic:0.26)
episode:9 	| reward:0.27 	| took:1.19s 	| avrege:0.27 	| loss:(actor:-3.02, critic:0.14)
episode:10 	| reward:0.26 	| took:1.15s 	| avrege:0.27 	| loss:(actor:-2.95, critic:0.02)
episode:11 	| reward:0.27 	| took:1.49s 	| avrege:0.27 	| loss:(actor:-2.81, critic:0.25)
episode:12 	| reward:0.26 	| took:1.50s 	| avrege:0.27 	| loss:(actor:-2.83, critic:0.02)
episode:13 	| reward:0.27 	| took:2.01s 	| avrege:0.27 	| loss:(actor:-2.73, critic:0.18)
episode:14 	| reward:0.27 	| took:1.42s 	| avrege:0.27 	| loss:(actor:-2.75, critic:0.14)
episode:15 	| reward:0.27 	| took:1.31s 	| avrege:0.27 	| loss:(actor:-2.70, critic:0.12)
episode:16 	| reward:0.27 	| took:1.33s 	| avrege:0.27 	| loss:(actor:-2.71, critic:0.12)
episode:17 	| reward:0.27 	| took:1.51s 	| avrege:0.27 	| loss:(actor:-2.60, critic:0.15)
episode:18 	| reward:0.27 	| took:1.15s 	| avrege:0.27 	| loss:(actor:-2.78, critic:0.01)
episode:19 	| reward:0.28 	| took:1.12s 	| avrege:0.27 	| loss:(actor:-2.69, critic:0.01)
episode:20 	| reward:0.28 	| took:1.17s 	| avrege:0.27 	| loss:(actor:-2.66, critic:0.02)
episode:21 	| reward:0.28 	| took:1.12s 	| avrege:0.27 	| loss:(actor:-2.61, critic:0.01)
episode:22 	| reward:0.27 	| took:1.02s 	| avrege:0.27 	| loss:(actor:-2.55, critic:0.15)
episode:23 	| reward:0.28 	| took:1.06s 	| avrege:0.27 	| loss:(actor:-2.56, critic:0.08)
episode:24 	| reward:0.28 	| took:1.08s 	| avrege:0.27 	| loss:(actor:-2.64, critic:0.01)
episode:25 	| reward:0.27 	| took:1.09s 	| avrege:0.27 	| loss:(actor:-2.52, critic:0.21)
episode:26 	| reward:0.27 	| took:1.03s 	| avrege:0.27 	| loss:(actor:-2.47, critic:0.14)
episode:27 	| reward:0.28 	| took:1.00s 	| avrege:0.27 	| loss:(actor:-2.50, critic:0.02)
episode:28 	| reward:0.27 	| took:1.01s 	| avrege:0.27 	| loss:(actor:-2.51, critic:0.02)
episode:29 	| reward:0.27 	| took:0.98s 	| avrege:0.27 	| loss:(actor:-2.54, critic:0.01)
episode:30 	| reward:0.27 	| took:1.11s 	| avrege:0.27 	| loss:(actor:-2.54, critic:0.17)
episode:31 	| reward:0.28 	| took:0.98s 	| avrege:0.27 	| loss:(actor:-2.64, critic:0.22)
episode:32 	| reward:0.28 	| took:1.06s 	| avrege:0.27 	| loss:(actor:-2.47, critic:0.01)
episode:33 	| reward:0.28 	| took:1.03s 	| avrege:0.27 	| loss:(actor:-2.51, critic:0.05)
episode:34 	| reward:0.27 	| took:1.00s 	| avrege:0.27 	| loss:(actor:-2.45, critic:0.07)
episode:35 	| reward:0.27 	| took:0.99s 	| avrege:0.27 	| loss:(actor:-2.46, critic:0.07)
episode:36 	| reward:0.27 	| took:0.99s 	| avrege:0.27 	| loss:(actor:-2.53, critic:0.01)
episode:37 	| reward:0.27 	| took:0.98s 	| avrege:0.27 	| loss:(actor:-2.43, critic:0.06)
episode:38 	| reward:0.26 	| took:0.99s 	| avrege:0.27 	| loss:(actor:-2.52, critic:0.01)
episode:39 	| reward:0.27 	| took:0.99s 	| avrege:0.27 	| loss:(actor:-2.35, critic:0.17)
episode:40 	| reward:0.27 	| took:0.97s 	| avrege:0.27 	| loss:(actor:-2.52, critic:0.01)
episode:41 	| reward:0.27 	| took:0.98s 	| avrege:0.27 	| loss:(actor:-2.43, critic:0.07)
episode:42 	| reward:0.27 	| took:0.99s 	| avrege:0.27 	| loss:(actor:-2.43, critic:0.20)
episode:43 	| reward:0.27 	| took:1.00s 	| avrege:0.27 	| loss:(actor:-2.40, critic:0.02)
episode:44 	| reward:0.27 	| took:1.07s 	| avrege:0.27 	| loss:(actor:-2.52, critic:0.02)
episode:45 	| reward:0.27 	| took:1.03s 	| avrege:0.27 	| loss:(actor:-2.41, critic:0.10)
episode:46 	| reward:0.27 	| took:0.99s 	| avrege:0.27 	| loss:(actor:-2.46, critic:0.23)
episode:47 	| reward:0.27 	| took:1.00s 	| avrege:0.27 	| loss:(actor:-2.39, critic:0.18)
episode:48 	| reward:0.27 	| took:1.00s 	| avrege:0.27 	| loss:(actor:-2.34, critic:0.16)
episode:49 	| reward:0.27 	| took:1.01s 	| avrege:0.27 	| loss:(actor:-2.30, critic:0.11)
episode:50 	| reward:0.27 	| took:1.00s 	| avrege:0.27 	| loss:(actor:-2.39, critic:0.10)
episode:51 	| reward:0.27 	| took:1.02s 	| avrege:0.27 	| loss:(actor:-2.37, critic:0.09)
episode:52 	| reward:0.27 	| took:1.13s 	| avrege:0.27 	| loss:(actor:-2.35, critic:0.05)
episode:53 	| reward:0.27 	| took:1.00s 	| avrege:0.27 	| loss:(actor:-2.46, critic:0.02)
episode:54 	| reward:0.27 	| took:1.04s 	| avrege:0.27 	| loss:(actor:-2.43, critic:0.01)
episode:55 	| reward:0.27 	| took:1.02s 	| avrege:0.27 	| loss:(actor:-2.44, critic:0.03)
episode:56 	| reward:0.27 	| took:1.12s 	| avrege:0.27 	| loss:(actor:-2.34, critic:0.25)
episode:57 	| reward:0.27 	| took:1.02s 	| avrege:0.27 	| loss:(actor:-2.42, critic:0.01)
episode:58 	| reward:0.27 	| took:1.02s 	| avrege:0.27 	| loss:(actor:-2.37, critic:0.17)
episode:59 	| reward:0.26 	| took:1.03s 	| avrege:0.27 	| loss:(actor:-2.40, critic:0.02)
episode:60 	| reward:0.27 	| took:1.03s 	| avrege:0.27 	| loss:(actor:-2.44, critic:0.01)
episode:61 	| reward:0.27 	| took:1.04s 	| avrege:0.27 	| loss:(actor:-2.33, critic:0.03)
episode:62 	| reward:0.27 	| took:1.04s 	| avrege:0.27 	| loss:(actor:-2.46, critic:0.01)
episode:63 	| reward:0.27 	| took:1.03s 	| avrege:0.27 	| loss:(actor:-2.41, critic:0.12)
episode:64 	| reward:0.27 	| took:1.05s 	| avrege:0.27 	| loss:(actor:-2.40, critic:0.05)
episode:65 	| reward:0.27 	| took:1.09s 	| avrege:0.27 	| loss:(actor:-2.35, critic:0.07)
episode:66 	| reward:1.66 	| took:4.99s 	| avrege:0.29 	| loss:(actor:-2.36, critic:0.09)
episode:67 	| reward:0.63 	| took:2.15s 	| avrege:0.30 	| loss:(actor:-2.34, critic:0.22)
episode:68 	| reward:0.63 	| took:2.24s 	| avrege:0.30 	| loss:(actor:-2.36, critic:0.06)
episode:69 	| reward:0.56 	| took:1.90s 	| avrege:0.31 	| loss:(actor:-2.41, critic:0.12)
episode:70 	| reward:4.04 	| took:20.93s 	| avrege:0.36 	| loss:(actor:-2.22, critic:0.01)
episode:71 	| reward:2.30 	| took:18.47s 	| avrege:0.39 	| loss:(actor:-1.61, critic:0.01)
episode:72 	| reward:1.39 	| took:7.07s 	| avrege:0.40 	| loss:(actor:-1.81, critic:0.05)
episode:73 	| reward:0.92 	| took:3.51s 	| avrege:0.41 	| loss:(actor:-1.75, critic:0.08)
episode:74 	| reward:1.24 	| took:5.80s 	| avrege:0.42 	| loss:(actor:-1.76, critic:0.06)
episode:75 	| reward:0.97 	| took:4.71s 	| avrege:0.43 	| loss:(actor:-1.99, critic:0.00)
episode:76 	| reward:2.29 	| took:39.74s 	| avrege:0.45 	| loss:(actor:-1.14, critic:0.00)
episode:77 	| reward:0.86 	| took:4.17s 	| avrege:0.46 	| loss:(actor:-1.09, critic:0.00)
episode:78 	| reward:0.69 	| took:2.92s 	| avrege:0.46 	| loss:(actor:-0.51, critic:0.07)
episode:79 	| reward:0.83 	| took:3.41s 	| avrege:0.46 	| loss:(actor:-1.09, critic:0.01)
episode:80 	| reward:0.75 	| took:3.16s 	| avrege:0.47 	| loss:(actor:-1.01, critic:0.03)
episode:81 	| reward:0.75 	| took:3.54s 	| avrege:0.47 	| loss:(actor:-0.19, critic:0.00)
episode:82 	| reward:1.96 	| took:22.24s 	| avrege:0.49 	| loss:(actor:-0.67, critic:0.00)
episode:83 	| reward:0.70 	| took:2.87s 	| avrege:0.49 	| loss:(actor:-0.66, critic:0.00)
episode:84 	| reward:0.62 	| took:2.22s 	| avrege:0.49 	| loss:(actor:-0.88, critic:0.00)
episode:85 	| reward:0.63 	| took:2.46s 	| avrege:0.49 	| loss:(actor:-0.24, critic:0.00)
episode:86 	| reward:0.63 	| took:2.32s 	| avrege:0.49 	| loss:(actor:-0.80, critic:0.03)
episode:87 	| reward:0.26 	| took:0.99s 	| avrege:0.49 	| loss:(actor:-0.75, critic:0.01)
episode:88 	| reward:0.26 	| took:1.01s 	| avrege:0.49 	| loss:(actor:-0.91, critic:0.00)
episode:89 	| reward:0.26 	| took:1.06s 	| avrege:0.49 	| loss:(actor:-1.16, critic:0.00)
episode:90 	| reward:0.26 	| took:1.01s 	| avrege:0.48 	| loss:(actor:-0.51, critic:0.02)
episode:91 	| reward:0.26 	| took:1.02s 	| avrege:0.48 	| loss:(actor:-0.48, critic:0.00)
episode:92 	| reward:0.26 	| took:1.01s 	| avrege:0.48 	| loss:(actor:-0.51, critic:0.04)
episode:93 	| reward:0.26 	| took:1.01s 	| avrege:0.48 	| loss:(actor:-0.96, critic:0.00)
episode:94 	| reward:0.28 	| took:1.05s 	| avrege:0.48 	| loss:(actor:-0.25, critic:0.01)
episode:95 	| reward:0.27 	| took:1.04s 	| avrege:0.47 	| loss:(actor:-0.46, critic:0.00)
episode:96 	| reward:0.32 	| took:1.41s 	| avrege:0.47 	| loss:(actor:-0.90, critic:0.02)
episode:97 	| reward:0.33 	| took:1.37s 	| avrege:0.47 	| loss:(actor:-0.33, critic:0.01)
episode:98 	| reward:0.31 	| took:1.31s 	| avrege:0.47 	| loss:(actor:-0.75, critic:0.01)
episode:99 	| reward:0.32 	| took:1.35s 	| avrege:0.47 	| loss:(actor:-1.00, critic:0.01)
episode:100 	| reward:0.42 	| took:1.72s 	| avrege:0.47 	| loss:(actor:-1.07, critic:0.01)
episode:101 	| reward:0.40 	| took:1.46s 	| avrege:0.47 	| loss:(actor:-0.11, critic:0.01)
episode:102 	| reward:0.38 	| took:1.40s 	| avrege:0.47 	| loss:(actor:-0.74, critic:0.01)
episode:103 	| reward:0.36 	| took:1.44s 	| avrege:0.47 	| loss:(actor:-1.13, critic:0.00)
episode:104 	| reward:0.43 	| took:1.58s 	| avrege:0.47 	| loss:(actor:-1.17, critic:0.02)
episode:105 	| reward:0.37 	| took:1.35s 	| avrege:0.47 	| loss:(actor:-0.97, critic:0.01)
