episode:58 	| reward:31.55 	| took:1.53s 	| avrege:46.85 	| loss:(actor:-1.31, critic:0.03)
episode:59 	| reward:28.47 	| took:1.30s 	| avrege:46.54 	| loss:(actor:-1.26, critic:0.02)
episode:60 	| reward:33.65 	| took:1.60s 	| avrege:46.33 	| loss:(actor:-1.24, critic:0.00)
episode:61 	| reward:30.53 	| took:1.35s 	| avrege:46.08 	| loss:(actor:-1.31, critic:0.02)
episode:62 	| reward:30.60 	| took:1.34s 	| avrege:45.83 	| loss:(actor:-1.28, critic:0.02)
episode:63 	| reward:32.55 	| took:1.35s 	| avrege:45.62 	| loss:(actor:-1.51, critic:0.04)
episode:64 	| reward:32.60 	| took:1.49s 	| avrege:45.42 	| loss:(actor:-1.33, critic:0.00)
episode:65 	| reward:31.45 	| took:1.38s 	| avrege:45.21 	| loss:(actor:-1.65, critic:0.00)
episode:66 	| reward:30.73 	| took:1.41s 	| avrege:44.99 	| loss:(actor:-1.57, critic:0.00)
episode:67 	| reward:33.52 	| took:1.48s 	| avrege:44.83 	| loss:(actor:-1.58, critic:0.00)
episode:68 	| reward:33.62 	| took:1.45s 	| avrege:44.66 	| loss:(actor:-1.72, critic:0.01)
episode:69 	| reward:30.89 	| took:1.50s 	| avrege:44.47 	| loss:(actor:-1.87, critic:0.02)
episode:70 	| reward:33.65 	| took:1.50s 	| avrege:44.31 	| loss:(actor:-1.82, critic:0.00)
episode:71 	| reward:31.47 	| took:1.44s 	| avrege:44.14 	| loss:(actor:-1.59, critic:0.02)
episode:72 	| reward:32.46 	| took:1.40s 	| avrege:43.98 	| loss:(actor:-1.81, critic:0.00)
episode:73 	| reward:29.43 	| took:1.29s 	| avrege:43.78 	| loss:(actor:-1.73, critic:0.00)
episode:74 	| reward:33.47 	| took:1.40s 	| avrege:43.64 	| loss:(actor:-1.74, critic:0.00)
episode:75 	| reward:31.36 	| took:1.41s 	| avrege:43.48 	| loss:(actor:-1.81, critic:0.03)
episode:76 	| reward:38.61 	| took:1.61s 	| avrege:43.42 	| loss:(actor:-1.97, critic:0.01)
episode:77 	| reward:36.28 	| took:1.55s 	| avrege:43.32 	| loss:(actor:-1.85, critic:0.00)
episode:78 	| reward:35.40 	| took:1.50s 	| avrege:43.22 	| loss:(actor:-1.95, critic:0.01)
episode:79 	| reward:37.68 	| took:1.60s 	| avrege:43.16 	| loss:(actor:-1.97, critic:0.04)
episode:80 	| reward:32.60 	| took:1.41s 	| avrege:43.03 	| loss:(actor:-1.98, critic:0.00)
episode:81 	| reward:22.89 	| took:1.09s 	| avrege:42.78 	| loss:(actor:-2.40, critic:0.06)
episode:82 	| reward:23.30 	| took:1.20s 	| avrege:42.54 	| loss:(actor:-2.10, critic:0.00)
episode:83 	| reward:31.46 	| took:1.53s 	| avrege:42.41 	| loss:(actor:-2.31, critic:0.00)
episode:84 	| reward:33.44 	| took:1.43s 	| avrege:42.31 	| loss:(actor:-2.20, critic:0.01)
episode:85 	| reward:38.73 	| took:1.67s 	| avrege:42.27 	| loss:(actor:-2.42, critic:0.00)
episode:86 	| reward:46.16 	| took:1.86s 	| avrege:42.31 	| loss:(actor:-1.96, critic:0.00)
episode:87 	| reward:56.58 	| took:2.16s 	| avrege:42.47 	| loss:(actor:-2.28, critic:0.00)
episode:88 	| reward:56.67 	| took:2.15s 	| avrege:42.63 	| loss:(actor:-2.41, critic:0.17)
episode:89 	| reward:55.05 	| took:2.11s 	| avrege:42.77 	| loss:(actor:-2.55, critic:0.08)
