episode:0 	| reward:44.75 	| took:1.44s 	| avrege:44.75 	| loss:(actor:-1.64, critic:0.05)
episode:1 	| reward:75.36 	| took:2.21s 	| avrege:60.06 	| loss:(actor:-1.70, critic:0.01)
episode:2 	| reward:20.27 	| took:0.79s 	| avrege:46.79 	| loss:(actor:-1.58, critic:0.05)
episode:3 	| reward:30.85 	| took:1.07s 	| avrege:42.81 	| loss:(actor:-1.71, critic:0.02)
episode:4 	| reward:27.33 	| took:0.92s 	| avrege:39.71 	| loss:(actor:-1.70, critic:0.01)
episode:5 	| reward:27.30 	| took:0.92s 	| avrege:37.64 	| loss:(actor:-1.79, critic:0.01)
episode:6 	| reward:27.28 	| took:0.92s 	| avrege:36.16 	| loss:(actor:-1.69, critic:0.04)
episode:7 	| reward:27.35 	| took:1.02s 	| avrege:35.06 	| loss:(actor:-1.72, critic:0.03)
episode:8 	| reward:27.36 	| took:1.15s 	| avrege:34.21 	| loss:(actor:-1.78, critic:0.00)
episode:9 	| reward:27.38 	| took:0.94s 	| avrege:33.52 	| loss:(actor:-1.83, critic:0.02)
episode:10 	| reward:27.58 	| took:0.96s 	| avrege:32.98 	| loss:(actor:-1.78, critic:0.04)
episode:11 	| reward:27.61 	| took:0.94s 	| avrege:32.54 	| loss:(actor:-1.77, critic:0.05)
episode:12 	| reward:27.61 	| took:0.94s 	| avrege:32.16 	| loss:(actor:-1.84, critic:0.05)
episode:13 	| reward:27.61 	| took:1.01s 	| avrege:31.83 	| loss:(actor:-2.00, critic:0.00)
episode:14 	| reward:26.51 	| took:1.02s 	| avrege:31.48 	| loss:(actor:-2.06, critic:0.03)
episode:15 	| reward:27.61 	| took:0.92s 	| avrege:31.24 	| loss:(actor:-2.10, critic:0.04)
episode:16 	| reward:27.61 	| took:0.96s 	| avrege:31.02 	| loss:(actor:-2.01, critic:0.00)
episode:17 	| reward:27.61 	| took:0.95s 	| avrege:30.83 	| loss:(actor:-2.03, critic:0.00)
episode:18 	| reward:27.61 	| took:0.98s 	| avrege:30.66 	| loss:(actor:-1.89, critic:0.03)
episode:19 	| reward:27.61 	| took:0.95s 	| avrege:30.51 	| loss:(actor:-2.06, critic:0.01)
episode:20 	| reward:27.61 	| took:0.97s 	| avrege:30.37 	| loss:(actor:-1.98, critic:0.07)
episode:21 	| reward:27.61 	| took:1.01s 	| avrege:30.25 	| loss:(actor:-2.05, critic:0.01)
episode:22 	| reward:27.61 	| took:1.05s 	| avrege:30.13 	| loss:(actor:-2.19, critic:0.01)
episode:23 	| reward:27.61 	| took:1.02s 	| avrege:30.03 	| loss:(actor:-2.17, critic:0.04)
episode:24 	| reward:27.61 	| took:1.05s 	| avrege:29.93 	| loss:(actor:-2.30, critic:0.07)
episode:25 	| reward:27.61 	| took:0.99s 	| avrege:29.84 	| loss:(actor:-2.27, critic:0.05)
episode:26 	| reward:27.61 	| took:1.05s 	| avrege:29.76 	| loss:(actor:-2.16, critic:0.10)
episode:27 	| reward:27.57 	| took:1.00s 	| avrege:29.68 	| loss:(actor:-2.34, critic:0.01)
episode:28 	| reward:27.31 	| took:0.98s 	| avrege:29.60 	| loss:(actor:-2.32, critic:0.01)
episode:29 	| reward:25.87 	| took:1.00s 	| avrege:29.48 	| loss:(actor:-2.29, critic:0.00)
episode:30 	| reward:27.61 	| took:0.98s 	| avrege:29.42 	| loss:(actor:-2.30, critic:0.24)
episode:31 	| reward:27.61 	| took:1.00s 	| avrege:29.36 	| loss:(actor:-2.31, critic:0.12)
episode:32 	| reward:27.61 	| took:1.01s 	| avrege:29.31 	| loss:(actor:-2.29, critic:0.20)
episode:33 	| reward:27.61 	| took:1.06s 	| avrege:29.26 	| loss:(actor:-2.28, critic:0.11)
episode:34 	| reward:27.61 	| took:0.99s 	| avrege:29.21 	| loss:(actor:-2.35, critic:0.01)
episode:35 	| reward:27.61 	| took:1.04s 	| avrege:29.17 	| loss:(actor:-2.41, critic:0.06)
episode:36 	| reward:25.63 	| took:1.01s 	| avrege:29.07 	| loss:(actor:-2.47, critic:0.09)
episode:37 	| reward:27.61 	| took:1.02s 	| avrege:29.03 	| loss:(actor:-2.62, critic:0.06)
episode:38 	| reward:26.52 	| took:0.99s 	| avrege:28.97 	| loss:(actor:-2.50, critic:0.08)
episode:39 	| reward:27.61 	| took:1.09s 	| avrege:28.93 	| loss:(actor:-2.49, critic:0.13)
episode:40 	| reward:27.61 	| took:1.00s 	| avrege:28.90 	| loss:(actor:-2.81, critic:0.01)
episode:41 	| reward:27.59 	| took:1.01s 	| avrege:28.87 	| loss:(actor:-2.65, critic:0.09)
episode:42 	| reward:27.61 	| took:0.99s 	| avrege:28.84 	| loss:(actor:-2.73, critic:0.08)
episode:43 	| reward:27.40 	| took:1.01s 	| avrege:28.81 	| loss:(actor:-2.66, critic:0.06)
episode:44 	| reward:27.61 	| took:1.02s 	| avrege:28.78 	| loss:(actor:-2.64, critic:0.01)
episode:45 	| reward:27.61 	| took:1.01s 	| avrege:28.76 	| loss:(actor:-2.44, critic:0.15)
episode:46 	| reward:27.61 	| took:0.99s 	| avrege:28.73 	| loss:(actor:-2.60, critic:0.04)
episode:47 	| reward:27.61 	| took:1.01s 	| avrege:28.71 	| loss:(actor:-2.74, critic:0.12)
episode:48 	| reward:27.61 	| took:1.02s 	| avrege:28.69 	| loss:(actor:-2.89, critic:0.29)
episode:49 	| reward:27.61 	| took:1.01s 	| avrege:28.67 	| loss:(actor:-2.62, critic:0.18)
episode:50 	| reward:27.61 	| took:1.01s 	| avrege:28.64 	| loss:(actor:-2.73, critic:0.16)
episode:51 	| reward:27.61 	| took:1.10s 	| avrege:28.62 	| loss:(actor:-2.94, critic:0.11)
episode:52 	| reward:27.61 	| took:1.03s 	| avrege:28.61 	| loss:(actor:-2.82, critic:0.17)
episode:53 	| reward:27.61 	| took:1.01s 	| avrege:28.59 	| loss:(actor:-2.95, critic:0.21)
episode:54 	| reward:27.61 	| took:1.04s 	| avrege:28.57 	| loss:(actor:-2.87, critic:0.10)
episode:55 	| reward:27.61 	| took:1.04s 	| avrege:28.55 	| loss:(actor:-2.88, critic:0.12)
episode:56 	| reward:27.61 	| took:1.02s 	| avrege:28.54 	| loss:(actor:-2.86, critic:0.21)
episode:57 	| reward:27.61 	| took:1.01s 	| avrege:28.52 	| loss:(actor:-2.99, critic:0.30)
episode:58 	| reward:27.61 	| took:1.00s 	| avrege:28.50 	| loss:(actor:-3.08, critic:0.12)
episode:59 	| reward:27.61 	| took:1.02s 	| avrege:28.49 	| loss:(actor:-2.82, critic:0.29)
episode:60 	| reward:27.61 	| took:1.02s 	| avrege:28.48 	| loss:(actor:-2.93, critic:0.09)
episode:61 	| reward:27.61 	| took:1.02s 	| avrege:28.46 	| loss:(actor:-3.10, critic:0.03)
episode:62 	| reward:27.61 	| took:1.01s 	| avrege:28.45 	| loss:(actor:-2.92, critic:0.21)
episode:63 	| reward:27.61 	| took:1.10s 	| avrege:28.44 	| loss:(actor:-3.38, critic:0.03)
episode:64 	| reward:27.61 	| took:1.03s 	| avrege:28.42 	| loss:(actor:-3.25, critic:0.45)
episode:65 	| reward:27.61 	| took:1.04s 	| avrege:28.41 	| loss:(actor:-3.04, critic:0.14)
episode:66 	| reward:27.61 	| took:1.04s 	| avrege:28.40 	| loss:(actor:-3.18, critic:0.03)
episode:67 	| reward:27.61 	| took:1.06s 	| avrege:28.39 	| loss:(actor:-3.34, critic:0.26)
episode:68 	| reward:27.61 	| took:1.01s 	| avrege:28.38 	| loss:(actor:-3.29, critic:0.02)
episode:69 	| reward:27.61 	| took:1.03s 	| avrege:28.37 	| loss:(actor:-3.46, critic:0.01)
episode:70 	| reward:27.61 	| took:1.02s 	| avrege:28.35 	| loss:(actor:-3.15, critic:0.02)
