episode:0 	| reward:29.55 	| took:1.13s 	| avrege:29.55 	| loss:(actor:-4.53, critic:0.17)
episode:1 	| reward:26.59 	| took:1.10s 	| avrege:28.07 	| loss:(actor:-4.88, critic:0.06)
episode:2 	| reward:27.69 	| took:1.08s 	| avrege:27.94 	| loss:(actor:-4.89, critic:0.36)
episode:3 	| reward:27.81 	| took:1.15s 	| avrege:27.91 	| loss:(actor:-4.95, critic:0.05)
episode:4 	| reward:26.88 	| took:1.09s 	| avrege:27.70 	| loss:(actor:-4.87, critic:0.30)
episode:5 	| reward:26.78 	| took:1.14s 	| avrege:27.55 	| loss:(actor:-4.75, critic:0.30)
episode:6 	| reward:26.71 	| took:1.06s 	| avrege:27.43 	| loss:(actor:-5.24, critic:0.07)
episode:7 	| reward:27.52 	| took:1.19s 	| avrege:27.44 	| loss:(actor:-5.01, critic:0.67)
episode:8 	| reward:27.25 	| took:1.19s 	| avrege:27.42 	| loss:(actor:-5.11, critic:0.03)
episode:9 	| reward:31.40 	| took:1.16s 	| avrege:27.82 	| loss:(actor:-4.93, critic:0.44)
episode:10 	| reward:31.47 	| took:1.15s 	| avrege:28.15 	| loss:(actor:-5.11, critic:0.39)
episode:11 	| reward:30.35 	| took:1.14s 	| avrege:28.33 	| loss:(actor:-5.11, critic:0.30)
episode:12 	| reward:29.58 	| took:1.30s 	| avrege:28.43 	| loss:(actor:-5.32, critic:0.84)
episode:13 	| reward:27.77 	| took:1.49s 	| avrege:28.38 	| loss:(actor:-4.94, critic:0.38)
episode:14 	| reward:34.47 	| took:1.44s 	| avrege:28.79 	| loss:(actor:-5.14, critic:0.39)
episode:15 	| reward:37.23 	| took:1.50s 	| avrege:29.32 	| loss:(actor:-5.20, critic:0.69)
episode:16 	| reward:48.62 	| took:2.14s 	| avrege:30.45 	| loss:(actor:-5.24, critic:0.70)
episode:17 	| reward:38.23 	| took:1.39s 	| avrege:30.88 	| loss:(actor:-5.18, critic:0.01)
episode:18 	| reward:32.40 	| took:1.22s 	| avrege:30.96 	| loss:(actor:-5.31, critic:0.05)
episode:19 	| reward:37.88 	| took:1.42s 	| avrege:31.31 	| loss:(actor:-5.50, critic:0.02)
episode:20 	| reward:34.83 	| took:1.33s 	| avrege:31.48 	| loss:(actor:-5.42, critic:0.01)
episode:21 	| reward:248.80 	| took:10.19s 	| avrege:41.35 	| loss:(actor:-5.59, critic:0.05)
episode:22 	| reward:28.93 	| took:1.45s 	| avrege:40.81 	| loss:(actor:-5.53, critic:0.04)
episode:23 	| reward:26.84 	| took:1.40s 	| avrege:40.23 	| loss:(actor:-5.46, critic:0.37)
episode:24 	| reward:34.55 	| took:2.04s 	| avrege:40.00 	| loss:(actor:-5.52, critic:0.03)
episode:25 	| reward:99.38 	| took:4.95s 	| avrege:42.29 	| loss:(actor:-5.63, critic:0.43)
episode:26 	| reward:37.34 	| took:1.96s 	| avrege:42.10 	| loss:(actor:-5.79, critic:0.43)
episode:27 	| reward:280.76 	| took:11.77s 	| avrege:50.63 	| loss:(actor:-6.01, critic:0.01)
episode:28 	| reward:221.24 	| took:8.79s 	| avrege:56.51 	| loss:(actor:-6.19, critic:0.01)
episode:29 	| reward:122.06 	| took:5.75s 	| avrege:58.70 	| loss:(actor:-6.21, critic:0.50)
episode:30 	| reward:218.12 	| took:10.11s 	| avrege:63.84 	| loss:(actor:-6.38, critic:0.04)
episode:31 	| reward:177.35 	| took:6.14s 	| avrege:67.39 	| loss:(actor:-6.56, critic:0.03)
episode:32 	| reward:76.70 	| took:2.98s 	| avrege:67.67 	| loss:(actor:-6.62, critic:0.63)
episode:33 	| reward:45.56 	| took:2.15s 	| avrege:67.02 	| loss:(actor:-6.69, critic:0.04)
episode:34 	| reward:75.75 	| took:4.35s 	| avrege:67.27 	| loss:(actor:-6.95, critic:0.01)
episode:35 	| reward:46.49 	| took:2.38s 	| avrege:66.69 	| loss:(actor:-7.07, critic:0.02)
episode:36 	| reward:40.85 	| took:1.66s 	| avrege:65.99 	| loss:(actor:-7.13, critic:0.01)
episode:37 	| reward:39.99 	| took:1.66s 	| avrege:65.31 	| loss:(actor:-7.17, critic:0.01)
episode:38 	| reward:253.95 	| took:10.18s 	| avrege:70.14 	| loss:(actor:-6.91, critic:0.79)
episode:39 	| reward:80.49 	| took:3.21s 	| avrege:70.40 	| loss:(actor:-7.50, critic:0.91)
episode:40 	| reward:39.08 	| took:1.70s 	| avrege:69.64 	| loss:(actor:-7.42, critic:3.39)
episode:41 	| reward:42.20 	| took:1.81s 	| avrege:68.99 	| loss:(actor:-7.27, critic:0.91)
episode:42 	| reward:34.87 	| took:1.75s 	| avrege:68.19 	| loss:(actor:-7.36, critic:0.02)
episode:43 	| reward:27.57 	| took:1.33s 	| avrege:67.27 	| loss:(actor:-7.70, critic:0.01)
episode:44 	| reward:36.98 	| took:1.62s 	| avrege:66.60 	| loss:(actor:-7.28, critic:0.87)
episode:45 	| reward:100.37 	| took:3.70s 	| avrege:67.33 	| loss:(actor:-7.69, critic:0.75)
episode:46 	| reward:99.64 	| took:3.62s 	| avrege:68.02 	| loss:(actor:-7.87, critic:1.63)
episode:47 	| reward:36.12 	| took:1.57s 	| avrege:67.35 	| loss:(actor:-7.76, critic:0.04)
episode:48 	| reward:250.10 	| took:8.64s 	| avrege:71.08 	| loss:(actor:-7.63, critic:0.97)
episode:49 	| reward:45.88 	| took:1.87s 	| avrege:70.58 	| loss:(actor:-8.00, critic:0.87)
episode:50 	| reward:39.70 	| took:1.79s 	| avrege:69.97 	| loss:(actor:-8.04, critic:1.06)
episode:51 	| reward:104.09 	| took:4.21s 	| avrege:70.63 	| loss:(actor:-8.00, critic:0.13)
episode:52 	| reward:95.09 	| took:3.80s 	| avrege:71.09 	| loss:(actor:-8.00, critic:2.11)
episode:53 	| reward:193.68 	| took:7.19s 	| avrege:73.36 	| loss:(actor:-8.66, critic:1.03)
episode:54 	| reward:128.52 	| took:4.69s 	| avrege:74.36 	| loss:(actor:-8.56, critic:0.99)
episode:55 	| reward:30.84 	| took:1.54s 	| avrege:73.59 	| loss:(actor:-8.38, critic:0.02)
episode:56 	| reward:31.36 	| took:1.38s 	| avrege:72.85 	| loss:(actor:-8.50, critic:1.94)
episode:57 	| reward:37.39 	| took:1.59s 	| avrege:72.23 	| loss:(actor:-8.51, critic:0.93)
episode:58 	| reward:127.85 	| took:4.83s 	| avrege:73.18 	| loss:(actor:-8.57, critic:0.11)
episode:59 	| reward:71.12 	| took:2.84s 	| avrege:73.14 	| loss:(actor:-8.67, critic:0.07)
episode:60 	| reward:51.22 	| took:2.35s 	| avrege:72.78 	| loss:(actor:-8.79, critic:1.17)
episode:61 	| reward:113.09 	| took:4.37s 	| avrege:73.43 	| loss:(actor:-8.71, critic:0.08)
episode:62 	| reward:64.57 	| took:2.46s 	| avrege:73.29 	| loss:(actor:-8.67, critic:0.01)
episode:63 	| reward:35.32 	| took:1.60s 	| avrege:72.70 	| loss:(actor:-9.07, critic:1.35)
episode:64 	| reward:34.49 	| took:1.54s 	| avrege:72.11 	| loss:(actor:-8.93, critic:1.10)
episode:65 	| reward:30.41 	| took:1.41s 	| avrege:71.48 	| loss:(actor:-9.02, critic:0.04)
episode:66 	| reward:31.14 	| took:1.45s 	| avrege:70.88 	| loss:(actor:-9.25, critic:1.32)
episode:67 	| reward:108.62 	| took:4.44s 	| avrege:71.43 	| loss:(actor:-9.32, critic:3.58)
episode:68 	| reward:44.65 	| took:2.00s 	| avrege:71.04 	| loss:(actor:-9.50, critic:0.03)
episode:69 	| reward:104.78 	| took:3.99s 	| avrege:71.53 	| loss:(actor:-9.36, critic:2.33)
