episode:0 	| reward:48.06 	| took:1.77s 	| avrege:48.06 	| loss:(actor:0.00, critic:0.27)
episode:1 	| reward:36.38 	| took:1.31s 	| avrege:42.22 	| loss:(actor:0.17, critic:0.12)
episode:2 	| reward:32.02 	| took:1.14s 	| avrege:38.82 	| loss:(actor:0.24, critic:0.06)
episode:3 	| reward:31.00 	| took:1.16s 	| avrege:36.86 	| loss:(actor:0.24, critic:0.06)
episode:4 	| reward:35.21 	| took:1.43s 	| avrege:36.53 	| loss:(actor:0.17, critic:0.10)
episode:5 	| reward:59.62 	| took:1.70s 	| avrege:40.38 	| loss:(actor:0.11, critic:0.04)
episode:6 	| reward:46.11 	| took:1.38s 	| avrege:41.20 	| loss:(actor:0.09, critic:0.04)
episode:7 	| reward:40.73 	| took:1.29s 	| avrege:41.14 	| loss:(actor:0.10, critic:0.01)
episode:8 	| reward:32.34 	| took:1.10s 	| avrege:40.16 	| loss:(actor:0.08, critic:0.02)
episode:9 	| reward:29.01 	| took:1.00s 	| avrege:39.05 	| loss:(actor:0.15, critic:0.02)
episode:10 	| reward:31.47 	| took:1.08s 	| avrege:38.36 	| loss:(actor:0.03, critic:0.00)
episode:11 	| reward:33.57 	| took:1.12s 	| avrege:37.96 	| loss:(actor:-0.01, critic:0.02)
episode:12 	| reward:37.72 	| took:1.57s 	| avrege:37.94 	| loss:(actor:-0.08, critic:0.02)
episode:13 	| reward:34.56 	| took:1.11s 	| avrege:37.70 	| loss:(actor:-0.02, critic:0.02)
episode:14 	| reward:32.13 	| took:1.11s 	| avrege:37.33 	| loss:(actor:-0.14, critic:0.01)
episode:15 	| reward:32.60 	| took:1.07s 	| avrege:37.03 	| loss:(actor:-0.14, critic:0.03)
episode:16 	| reward:33.38 	| took:1.08s 	| avrege:36.82 	| loss:(actor:-0.15, critic:0.02)
episode:17 	| reward:83.34 	| took:2.29s 	| avrege:39.40 	| loss:(actor:-0.25, critic:0.01)
episode:18 	| reward:20.49 	| took:0.85s 	| avrege:38.41 	| loss:(actor:-0.27, critic:0.01)
episode:19 	| reward:71.11 	| took:2.06s 	| avrege:40.04 	| loss:(actor:-0.30, critic:0.01)
episode:20 	| reward:28.55 	| took:1.05s 	| avrege:39.49 	| loss:(actor:-0.27, critic:0.00)
episode:21 	| reward:34.00 	| took:1.16s 	| avrege:39.24 	| loss:(actor:-0.44, critic:0.00)
episode:22 	| reward:35.01 	| took:1.15s 	| avrege:39.06 	| loss:(actor:-0.44, critic:0.00)
episode:23 	| reward:38.55 	| took:1.22s 	| avrege:39.04 	| loss:(actor:-0.46, critic:0.00)
episode:24 	| reward:46.90 	| took:1.45s 	| avrege:39.35 	| loss:(actor:-0.43, critic:0.00)
episode:25 	| reward:50.17 	| took:1.61s 	| avrege:39.77 	| loss:(actor:-0.52, critic:0.00)
episode:26 	| reward:46.10 	| took:1.57s 	| avrege:40.00 	| loss:(actor:-0.57, critic:0.00)
episode:27 	| reward:55.61 	| took:1.81s 	| avrege:40.56 	| loss:(actor:-0.55, critic:0.00)
episode:28 	| reward:97.32 	| took:2.73s 	| avrege:42.52 	| loss:(actor:-0.60, critic:0.00)
episode:29 	| reward:28.02 	| took:1.06s 	| avrege:42.04 	| loss:(actor:-0.74, critic:0.00)
episode:30 	| reward:68.37 	| took:1.95s 	| avrege:42.88 	| loss:(actor:-0.76, critic:0.00)
episode:31 	| reward:37.45 	| took:1.19s 	| avrege:42.71 	| loss:(actor:-0.71, critic:0.00)
episode:32 	| reward:29.31 	| took:1.00s 	| avrege:42.31 	| loss:(actor:-0.77, critic:0.00)
episode:33 	| reward:32.31 	| took:1.15s 	| avrege:42.01 	| loss:(actor:-0.72, critic:0.00)
episode:34 	| reward:49.90 	| took:1.90s 	| avrege:42.24 	| loss:(actor:-0.85, critic:0.00)
episode:35 	| reward:37.25 	| took:1.42s 	| avrege:42.10 	| loss:(actor:-0.78, critic:0.00)
episode:36 	| reward:45.59 	| took:1.67s 	| avrege:42.20 	| loss:(actor:-0.98, critic:0.00)
episode:37 	| reward:82.85 	| took:2.76s 	| avrege:43.27 	| loss:(actor:-1.05, critic:0.00)
episode:38 	| reward:54.04 	| took:1.75s 	| avrege:43.54 	| loss:(actor:-1.09, critic:0.01)
episode:39 	| reward:47.88 	| took:1.61s 	| avrege:43.65 	| loss:(actor:-0.98, critic:0.01)
episode:40 	| reward:40.58 	| took:1.44s 	| avrege:43.58 	| loss:(actor:-1.17, critic:0.01)
episode:41 	| reward:45.85 	| took:1.53s 	| avrege:43.63 	| loss:(actor:-0.99, critic:0.00)
episode:42 	| reward:58.62 	| took:1.90s 	| avrege:43.98 	| loss:(actor:-1.21, critic:0.00)
episode:43 	| reward:39.45 	| took:1.44s 	| avrege:43.88 	| loss:(actor:-1.26, critic:0.00)
episode:44 	| reward:36.46 	| took:1.28s 	| avrege:43.71 	| loss:(actor:-1.24, critic:0.00)
episode:45 	| reward:40.59 	| took:1.40s 	| avrege:43.64 	| loss:(actor:-1.32, critic:0.02)
episode:46 	| reward:41.78 	| took:1.45s 	| avrege:43.60 	| loss:(actor:-1.41, critic:0.01)
episode:47 	| reward:34.42 	| took:1.32s 	| avrege:43.41 	| loss:(actor:-1.30, critic:0.03)
episode:48 	| reward:36.32 	| took:1.40s 	| avrege:43.27 	| loss:(actor:-1.33, critic:0.02)
episode:49 	| reward:37.47 	| took:1.40s 	| avrege:43.15 	| loss:(actor:-1.43, critic:0.04)
episode:50 	| reward:29.31 	| took:1.29s 	| avrege:42.88 	| loss:(actor:-1.29, critic:0.01)
episode:51 	| reward:30.23 	| took:1.24s 	| avrege:42.64 	| loss:(actor:-1.36, critic:0.02)
episode:52 	| reward:29.16 	| took:1.28s 	| avrege:42.38 	| loss:(actor:-1.53, critic:0.02)
episode:53 	| reward:33.29 	| took:1.31s 	| avrege:42.21 	| loss:(actor:-1.61, critic:0.02)
episode:54 	| reward:33.31 	| took:1.31s 	| avrege:42.05 	| loss:(actor:-1.58, critic:0.00)
episode:55 	| reward:18.83 	| took:0.99s 	| avrege:41.64 	| loss:(actor:-1.59, critic:0.02)
episode:56 	| reward:32.31 	| took:1.28s 	| avrege:41.47 	| loss:(actor:-1.53, critic:0.00)
episode:57 	| reward:28.26 	| took:1.18s 	| avrege:41.25 	| loss:(actor:-1.76, critic:0.03)
episode:58 	| reward:27.40 	| took:1.18s 	| avrege:41.01 	| loss:(actor:-1.49, critic:0.05)
episode:59 	| reward:28.56 	| took:1.20s 	| avrege:40.80 	| loss:(actor:-1.68, critic:0.02)
episode:60 	| reward:27.69 	| took:1.21s 	| avrege:40.59 	| loss:(actor:-1.80, critic:0.03)
episode:61 	| reward:25.41 	| took:1.15s 	| avrege:40.34 	| loss:(actor:-1.79, critic:0.00)
episode:62 	| reward:30.63 	| took:1.28s 	| avrege:40.19 	| loss:(actor:-1.67, critic:0.04)
episode:63 	| reward:29.53 	| took:1.29s 	| avrege:40.02 	| loss:(actor:-1.72, critic:0.03)
episode:64 	| reward:28.59 	| took:1.30s 	| avrege:39.85 	| loss:(actor:-1.73, critic:0.07)
episode:65 	| reward:29.56 	| took:1.39s 	| avrege:39.69 	| loss:(actor:-1.72, critic:0.04)
episode:66 	| reward:29.59 	| took:1.26s 	| avrege:39.54 	| loss:(actor:-2.06, critic:0.00)
episode:67 	| reward:28.62 	| took:1.27s 	| avrege:39.38 	| loss:(actor:-1.84, critic:0.07)
episode:68 	| reward:27.52 	| took:1.20s 	| avrege:39.21 	| loss:(actor:-1.84, critic:0.01)
episode:69 	| reward:27.47 	| took:1.18s 	| avrege:39.04 	| loss:(actor:-2.04, critic:0.05)
episode:70 	| reward:27.45 	| took:1.20s 	| avrege:38.88 	| loss:(actor:-2.10, critic:0.13)
episode:71 	| reward:27.53 	| took:1.19s 	| avrege:38.72 	| loss:(actor:-2.04, critic:0.08)
episode:72 	| reward:27.56 	| took:1.20s 	| avrege:38.57 	| loss:(actor:-1.92, critic:0.05)
episode:73 	| reward:27.60 	| took:1.20s 	| avrege:38.42 	| loss:(actor:-2.21, critic:0.08)
episode:74 	| reward:27.61 	| took:1.21s 	| avrege:38.27 	| loss:(actor:-2.24, critic:0.06)
episode:75 	| reward:27.60 	| took:1.18s 	| avrege:38.13 	| loss:(actor:-2.23, critic:0.00)
episode:76 	| reward:22.02 	| took:1.16s 	| avrege:37.92 	| loss:(actor:-2.21, critic:0.00)
episode:77 	| reward:25.93 	| took:1.23s 	| avrege:37.77 	| loss:(actor:-2.16, critic:0.05)
episode:78 	| reward:27.61 	| took:1.25s 	| avrege:37.64 	| loss:(actor:-1.96, critic:0.17)
episode:79 	| reward:27.61 	| took:1.22s 	| avrege:37.52 	| loss:(actor:-2.03, critic:0.07)
episode:80 	| reward:27.56 	| took:1.19s 	| avrege:37.39 	| loss:(actor:-2.19, critic:0.01)
episode:81 	| reward:27.56 	| took:1.27s 	| avrege:37.27 	| loss:(actor:-2.21, critic:0.10)
episode:82 	| reward:27.61 	| took:1.40s 	| avrege:37.16 	| loss:(actor:-2.28, critic:0.13)
episode:83 	| reward:27.57 	| took:1.21s 	| avrege:37.04 	| loss:(actor:-2.19, critic:0.07)
episode:84 	| reward:25.55 	| took:1.18s 	| avrege:36.91 	| loss:(actor:-2.33, critic:0.22)
episode:85 	| reward:25.45 	| took:1.36s 	| avrege:36.77 	| loss:(actor:-2.23, critic:0.15)
episode:86 	| reward:27.59 	| took:1.31s 	| avrege:36.67 	| loss:(actor:-2.17, critic:0.15)
episode:87 	| reward:27.56 	| took:1.26s 	| avrege:36.57 	| loss:(actor:-2.35, critic:0.00)
episode:88 	| reward:27.60 	| took:1.42s 	| avrege:36.47 	| loss:(actor:-2.35, critic:0.09)
episode:89 	| reward:27.58 	| took:1.32s 	| avrege:36.37 	| loss:(actor:-2.45, critic:0.00)
episode:90 	| reward:27.53 	| took:1.24s 	| avrege:36.27 	| loss:(actor:-2.42, critic:0.16)
episode:91 	| reward:27.49 	| took:1.21s 	| avrege:36.17 	| loss:(actor:-2.45, critic:0.02)
episode:92 	| reward:27.51 	| took:1.26s 	| avrege:36.08 	| loss:(actor:-2.38, critic:0.01)
episode:93 	| reward:27.56 	| took:1.34s 	| avrege:35.99 	| loss:(actor:-2.75, critic:0.10)
episode:94 	| reward:26.90 	| took:1.53s 	| avrege:35.89 	| loss:(actor:-2.73, critic:0.11)
episode:95 	| reward:27.58 	| took:1.49s 	| avrege:35.81 	| loss:(actor:-2.54, critic:0.18)
episode:96 	| reward:27.58 	| took:1.45s 	| avrege:35.72 	| loss:(actor:-2.78, critic:0.09)
episode:97 	| reward:27.53 	| took:1.42s 	| avrege:35.64 	| loss:(actor:-2.68, critic:0.10)
episode:98 	| reward:27.57 	| took:1.29s 	| avrege:35.56 	| loss:(actor:-2.39, critic:0.20)
